	0
107_5	107
109_9	109
112_9	112
120_3	120
151_10	151
154_9	154
155_17	155
155_18	155
162_15	162
162_16	162
167_5	167
18_2	18
194_16	194
194_29	194
194_3	194
196_21	196
196_33	196
196_34	196
197_20	197
198_19	198
200_33	200
201_10	201
202_30	202
203_32	203
204_34	204
204_35	204
207_9	207
20_1	20
216_10	216
216_11	216
216_12	216
216_13	216
216_17	216
216_20	216
216_21	216
216_22	216
216_23	216
216_24	216
216_25	216
216_26	216
216_27	216
216_3	216
216_32	216
216_33	216
216_34	216
216_35	216
216_36	216
216_37	216
216_38	216
216_39	216
216_4	216
216_40	216
216_41	216
216_42	216
216_43	216
216_44	216
216_45	216
216_46	216
216_47	216
64_7	64
virtual	1
