20_1,277.0,186.0
194_3,288.0,175.0
216_4,283.0,150.0
216_3,304.0,163.0
120_3,298.0,159.0
216_17,355.0,145.0
167_5,273.0,166.0
207_9,272.0,146.0
216_11,270.0,143.0
216_10,257.0,151.0
201_10,259.0,130.0
216_13,255.0,116.0
216_12,255.0,138.0
18_2,251.0,192.0
64_7,273.0,189.0
112_9,263.0,216.0
162_16,256.0,193.0
204_35,262.0,175.0
216_39,272.0,163.0
216_38,266.0,194.0
204_34,248.0,213.0
216_37,250.0,200.0
216_36,253.0,229.0
162_15,267.0,212.0
203_32,260.0,199.0
216_35,253.0,186.0
216_34,261.0,217.0
202_30,289.0,227.0
216_33,287.0,225.0
216_32,281.0,246.0
109_9,279.0,185.0
155_18,299.0,164.0
196_34,280.0,136.0
216_47,266.0,126.0
216_46,287.0,140.0
196_33,313.0,171.0
216_45,315.0,159.0
216_44,329.0,176.0
155_17,298.0,206.0
200_33,282.0,206.0
216_41,280.0,219.0
216_40,279.0,188.0
194_29,306.0,198.0
216_43,306.0,181.0
216_42,316.0,197.0
107_5,207.0,227.0
154_9,187.0,249.0
198_19,200.0,246.0
216_23,204.0,247.0
216_22,179.0,242.0
194_16,170.0,252.0
216_21,166.0,233.0
216_20,168.0,251.0
151_10,232.0,227.0
197_20,223.0,242.0
216_25,219.0,253.0
216_24,248.0,243.0
196_21,234.0,204.0
216_27,233.0,189.0
216_26,235.0,223.0
