cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,2,0,0,2,1,1,0,0,0
I1,1,2,1,2,2,1,1,2,0,1
216_4,1,2,1,2,2,1,1,2,0,1
I2,1,2,1,2,2,1,1,2,0,1
216_6,1,2,1,2,2,1,1,2,0,1
216_5,1,2,1,2,2,1,1,2,0,1
I3,0,2,1,0,2,1,1,0,0,0
I4,0,2,1,0,2,1,1,0,0,0
I5,0,2,1,0,2,1,1,0,0,1
216_21,2,2,1,0,2,1,1,0,0,1
I6,0,2,1,0,2,1,1,0,2,1
216_19,0,2,1,0,2,1,1,0,2,1
216_18,0,2,1,0,2,1,1,0,2,1
I7,2,2,1,0,2,1,1,0,1,0
216_16,2,2,1,1,2,1,1,0,1,0
I8,2,2,1,1,2,1,1,0,1,0
216_15,2,2,1,1,2,1,1,0,1,0
216_14,2,2,1,1,2,1,1,0,1,0
I9,0,2,1,1,2,1,1,1,0,2
216_10,0,2,1,1,2,1,1,1,0,2
I10,2,2,1,1,2,1,1,1,0,2
216_8,2,2,1,1,2,1,1,1,0,2
216_7,2,2,1,1,2,1,1,1,0,2
Evolve tree: [&R] ((((216_7:9,216_8:9)I10:77,216_10:86)I9:49,(((216_14:3,216_15:3)I8:40,216_16:43)I7:43,((216_18:1,216_19:1)I6:38,216_21:39)I5:47)I4:49)I3:50,((216_5:3,216_6:3)I2:42,216_4:45)I1:140)I0:30;
