cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,1,0,0,1,0,1,0,0
I1,0,0,1,0,0,1,2,1,2,0
216_4,0,1,1,0,0,1,2,1,2,0
I2,0,0,1,0,0,1,2,1,2,0
216_6,0,0,1,0,0,1,2,1,2,0
216_5,0,0,1,0,0,1,2,1,2,0
I3,0,0,1,0,0,1,2,1,2,0
I4,0,0,1,0,0,1,2,1,2,0
I5,0,0,1,0,0,1,2,1,2,0
216_21,1,0,1,0,0,1,2,1,2,0
I6,0,0,1,0,0,1,2,1,2,0
216_19,0,0,1,0,1,1,2,1,2,0
216_18,0,0,1,0,0,1,2,1,2,0
I7,0,0,1,0,0,1,2,1,2,0
216_16,0,0,1,0,0,1,2,1,2,0
I8,0,0,1,0,0,1,2,1,2,1
216_15,0,0,1,0,0,1,2,1,2,1
216_14,0,0,1,0,0,1,2,1,2,1
I9,0,1,1,0,1,1,2,1,2,0
216_10,1,1,1,0,1,1,2,1,2,0
I10,0,1,1,0,1,1,2,1,2,0
216_8,0,1,1,0,1,1,2,1,2,0
216_7,0,1,1,1,1,1,2,1,2,0
Evolve tree: [&R] ((((216_7:0.03647072670750793,216_8:0.03647072670750793)I10:0.3595750853515637,216_10:0.3960458120590716)I9:0.2801861381783922,(((216_14:0.012038973181965588,216_15:0.012038973181965588)I8:0.17221613983509687,216_16:0.18425511301706246)I7:0.21179069904200898,((216_18:0.00400000000000029,216_19:0.00400000000000029)I6:0.16201223054136057,216_21:0.16601223054136086)I5:0.23003358151771058)I4:0.2801861381783922)I3:0.3356372284269503,((216_5:0.012038973181965588,216_6:0.012038973181965588)I2:0.1814265979774983,216_4:0.1934655711594639)I1:0.8184036075049503)I0:0.22907885600489486;
