pos_1,pos_2,progenitor,descendants_1,descendants_2
201,163,1,1,
163,140,2,2,
236,137,3,3,
219,131,4,4,
211,157,5,5,
229,145,6,6,
202,144,7,7,
220,145,8,8,
148,141,9,9,
163,110,10,10,
177,136,11,11,
205,130,12,12,
134,152,13,13,
149,123,14,14,
194,115,15,15,
176,119,16,16,
224,170,17,17,
245,180,18,18,
268,127,19,19,
245,115,20,20,
261,158,21,21,
241,152,22,22,
247,134,23,23,24
209,132,24,25,
207,115,25,26,
198,93,26,27,
225,96,27,28,
223,122,28,29,
220,113,29,30,
282,102,30,31,
217,76,31,32,
239,70,32,33,
203,69,33,34,
244,57,34,35,
