pos_1,pos_2,progenitor,descendants_1,descendants_2
202,163,1,1,
161,144,2,2,
236,137,3,3,
220,132,4,4,
212,157,5,5,
229,145,6,6,
202,144,7,7,
220,145,8,8,
147,142,9,9,
159,113,10,10,
177,137,11,11,
205,129,12,12,
133,153,13,13,
149,123,14,14,
194,115,15,15,
176,118,16,16,
224,170,17,17,
245,180,18,18,
268,128,19,19,
245,115,20,20,
261,158,21,21,
241,153,22,22,
250,142,23,23,
242,127,23,24,
211,132,24,25,
207,115,25,26,27
198,95,26,28,
225,96,27,29,
223,122,28,30,
220,113,29,31,
282,101,30,32,
217,76,31,33,
242,70,32,34,
203,69,33,35,
244,57,34,36,
