pos_1,pos_2,progenitor,descendants
203,163,1,1
161,144,2,2
236,137,3,3
218,132,4,4
212,157,5,5
228,145,6,6
202,142,7,7
220,145,8,8
146,142,9,9
159,113,10,10
176,135,11,11
203,129,12,12
131,155,13,13
147,122,14,14
194,115,15,15
176,118,16,16
225,170,17,17
241,185,18,18
269,129,19,19
247,122,20,20
261,156,21,21
241,153,22,22
250,142,23,23
243,132,24,24
206,130,25,25
207,120,26,26
212,106,26,27
199,98,27,28
225,96,28,29
223,122,29,30
220,113,30,31
282,100,31,32
217,76,32,33
242,70,33,34
203,69,34,35
244,57,35,36
