pos_1,pos_2,progenitor,descendants_1,descendants_2
199,163,1,1,
162,139,2,2,
236,137,3,3,
216,133,4,4,
207,156,5,5,
230,145,6,6,
204,145,7,7,
219,145,8,8,
150,141,9,9,
168,109,10,10,
178,131,11,11,
206,129,12,12,
138,150,13,13,
154,119,14,14,
195,112,15,15,
180,116,16,16,
220,172,17,17,
244,180,18,18,
274,123,19,19,
247,114,20,20,
262,158,21,21,
238,154,22,22,
249,131,23,23,
208,133,24,24,
210,115,25,25,
209,98,26,26,27
225,125,27,28,
221,109,28,29,
255,100,29,30,
282,104,30,31,
213,80,31,32,
239,70,32,33,
203,70,33,34,
241,59,34,35,
