pos_1,pos_2,progenitor,descendants_1,descendants_2
194,166,1,1,
167,135,2,2,
239,142,3,3,
219,126,4,4,
204,158,5,5,
235,153,6,6,
208,145,7,7,
220,146,8,8,
151,141,9,9,
165,109,10,10,
179,130,11,11,
206,131,12,12,
139,150,13,13,
154,118,14,14,
196,111,15,15,
179,115,16,16,
209,173,17,17,
231,179,18,18,
270,123,19,19,
252,117,20,20,
246,158,21,21,22
247,131,22,23,
210,129,23,24,
213,116,24,25,
208,97,25,26,
228,125,26,27,
226,110,27,28,
245,100,28,29,
282,101,29,30,
212,82,30,31,
242,69,31,32,
203,70,32,33,
245,57,33,34,
