pos_1,pos_2,progenitor,descendants_1,descendants_2
194,166,1,1,
167,135,2,2,
238,141,3,3,
219,126,4,4,
206,158,5,5,
233,152,6,6,
213,145,7,7,8
151,141,8,9,
165,109,9,10,
179,128,10,11,
206,131,11,12,
141,149,12,13,
154,118,13,14,
195,110,14,15,
178,114,15,16,
212,174,16,17,
238,176,17,18,
268,123,18,19,
248,116,19,20,
242,147,20,21,
247,131,21,22,
208,127,22,23,
211,116,23,24,
208,99,24,25,
231,119,25,26,
225,110,25,27,
244,100,26,28,
282,101,27,29,
212,83,28,30,
248,72,29,31,
206,71,30,32,
245,57,31,33,
