pos_1,pos_2,progenitor,descendants_1,descendants_2
203,161,1,1,
159,144,2,2,
230,146,3,3,
217,132,4,4,
216,154,5,5,
216,145,6,6,
222,142,7,7,
147,140,8,8,9
159,109,9,10,
153,111,9,11,
173,139,10,12,
202,133,11,13,
114,161,12,14,
130,150,13,15,
145,119,14,16,
186,112,15,17,
175,115,16,18,
221,180,17,19,
236,185,18,20,
267,128,19,21,
243,118,20,22,
263,154,21,23,
237,155,22,,
253,145,23,24,
239,140,24,25,
207,129,25,26,
199,116,26,27,
215,98,27,28,
200,103,28,29,
229,97,29,30,
223,123,30,31,
226,109,31,32,
209,76,32,33,
245,68,33,34,
189,62,34,35,
204,63,34,36,
242,59,35,37,
243,47,36,38,
