pos_1,pos_2,progenitor,descendants_1,descendants_2
203,162,1,1,
159,144,2,2,
228,146,3,3,
215,131,4,4,
217,155,5,5,
212,141,6,6,
220,142,7,7,
145,146,8,8,
159,109,9,9,
173,139,10,10,
203,131,11,11,
124,158,12,12,13
147,123,13,14,
186,112,14,15,
175,114,15,16,
223,179,16,17,
241,185,17,18,
267,128,18,19,
243,118,19,20,
263,154,20,21,
239,153,21,22,
253,145,22,23,
237,140,23,24,
207,125,24,25,
198,117,25,26,
215,98,26,27,
200,103,27,28,
222,93,28,29,
223,123,29,30,
226,109,30,31,
283,97,31,,
212,73,32,32,
242,67,33,33,
195,65,34,34,
245,56,35,35,36
