pos_1,pos_2,progenitor,descendants
203,162,1,1
159,144,2,2
227,145,3,3
218,132,4,4
212,157,5,5
206,141,7,6
220,143,8,7
145,145,9,8
159,113,10,9
175,137,11,10
203,129,12,11
130,157,13,12
147,122,14,13
191,112,15,14
175,114,16,15
225,175,17,16
241,185,18,17
267,128,19,18
243,118,20,19
261,154,21,20
241,153,22,21
253,145,23,22
241,137,24,23
208,127,25,24
204,118,26,25
212,106,27,26
200,102,28,27
222,97,29,28
223,123,30,29
225,111,31,30
283,97,32,31
217,74,33,32
240,67,34,33
195,65,35,34
244,57,36,35
