pos_1,pos_2,progenitor,descendants
206,159,1,1
166,145,2,2
213,125,4,
216,153,5,3
216,145,6,4
223,141,7,5
137,135,8,6
152,141,9,7
167,105,10,8
152,111,11,9
175,138,12,10
202,134,13,11
114,161,14,12
130,150,15,13
143,119,16,14
189,111,17,15
175,115,18,16
221,180,19,17
235,186,20,18
267,128,21,19
242,119,22,20
264,158,23,21
252,143,24,22
239,144,25,23
199,116,27,24
215,104,28,25
200,103,29,26
230,94,30,27
224,126,31,28
226,109,32,29
209,78,33,30
246,68,34,31
189,62,35,32
207,63,36,33
236,58,37,34
243,45,38,35
