pos_1,pos_2,progenitor,descendants
206,159,1,1
166,145,2,2
229,149,3,
213,128,4,3
216,153,5,4
216,145,6,5
222,142,7,6
139,136,8,7
150,141,8,8
168,107,9,9
153,111,10,10
173,139,11,11
202,134,12,12
114,161,13,13
130,150,14,14
143,119,15,15
186,112,16,16
175,115,17,17
221,180,18,18
235,186,19,19
267,128,20,20
242,119,21,21
264,158,22,22
253,145,24,23
239,144,25,24
207,132,26,
199,116,27,25
215,98,28,26
200,103,29,27
230,94,30,28
223,124,31,29
226,109,32,30
209,77,33,31
246,68,34,32
189,62,35,33
207,63,36,34
237,58,37,35
243,46,38,36
