pos_1,pos_2,progenitor,descendants_1,descendants_2
203,161,1,1,
159,144,2,2,
230,146,3,3,
216,132,4,4,
216,154,5,5,
212,141,6,6,
221,142,7,7,
145,145,8,8,
159,109,9,9,10
173,139,10,11,
202,132,11,12,
115,158,12,13,
130,150,12,14,
147,122,13,15,
186,112,14,16,
175,114,15,17,
221,180,16,18,
238,185,17,19,
267,128,18,20,
243,118,19,21,
263,154,20,22,
239,153,21,23,
253,145,22,24,
237,140,23,25,
207,125,24,26,
198,117,25,27,
215,98,26,28,
200,103,27,29,
228,97,28,30,
223,123,29,31,
226,109,30,32,
209,75,32,33,
242,67,33,34,
195,65,34,35,36
242,59,35,37,
243,49,35,38,
