pos_1,pos_2,progenitor,descendants
202,155,1,1
166,145,2,2
216,153,4,3
215,142,5,4
224,141,6,5
135,135,7,6
152,141,8,7
167,105,9,8
152,111,10,9
176,137,11,10
202,135,12,11
115,162,13,12
130,150,14,13
143,119,15,14
189,111,16,15
175,115,17,16
221,180,18,17
235,186,19,18
263,131,20,19
239,116,21,20
264,160,22,21
252,143,23,22
238,144,24,23
199,116,25,24
215,101,26,25
200,104,27,26
229,92,28,27
224,126,29,28
226,109,30,29
208,79,31,30
246,68,32,31
187,60,33,32
207,63,34,33
235,56,35,34
247,45,36,35
