pos_1,pos_2,progenitor,descendants
203,163,1,1
159,144,2,2
232,141,3,3
218,132,4,4
212,157,5,5
225,148,6,
206,141,7,6
220,145,8,7
146,143,9,8
159,113,10,9
175,135,11,10
203,130,12,11
130,157,13,12
147,122,14,13
192,113,15,14
175,114,16,15
225,175,17,16
241,185,18,17
269,129,19,18
243,118,20,19
261,155,21,20
241,153,22,21
251,142,23,22
242,135,24,23
206,128,25,24
204,120,26,25
212,106,27,26
199,100,28,27
223,97,29,28
223,122,30,29
225,111,31,30
282,100,32,31
217,74,33,32
242,70,34,33
203,69,35,34
244,57,36,35
