cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_1,1,0,2,2,0,0,2,2,0,2
216_3,1,1,0,2,0,1,2,2,2,2
216_4,1,0,0,2,0,1,2,2,2,2
216_5,1,0,0,2,0,1,2,2,2,2
216_10,0,0,1,2,1,1,2,2,1,2
216_13,0,0,1,2,1,0,2,2,1,2
216_12,0,0,1,2,1,0,2,2,1,2
216_9,0,0,1,0,1,0,2,2,0,2
216_8,0,0,1,0,1,0,2,2,0,2
216_7,1,0,1,0,1,2,2,2,0,2
216_6,1,0,1,2,1,2,2,2,1,2
216_15,1,2,0,0,0,1,2,0,2,0
216_14,1,2,0,0,0,1,2,2,2,0
216_25,1,0,1,1,1,1,2,0,2,0
216_23,0,2,1,0,1,1,0,1,2,2
216_22,0,2,1,0,1,1,0,1,2,2
216_27,0,0,1,0,1,1,0,0,2,0
216_26,0,1,0,0,1,1,0,2,2,0
216_31,0,0,0,0,1,1,0,0,2,0
216_30,0,0,0,0,1,1,0,0,2,0
216_29,0,0,0,0,1,1,0,0,2,0
216_28,0,0,0,0,1,1,0,0,2,0
