cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,0,0,0,1,0,0,0,0,0
I2,1,1,1,0,1,0,0,0,0,1
216_26,1,1,1,2,1,2,0,0,1,1
I3,1,1,1,2,1,0,0,0,2,1
216_25,1,1,1,2,1,0,0,2,2,1
216_24,1,1,1,2,1,0,0,0,2,1
I4,1,2,0,0,1,2,1,0,2,0
I5,1,2,0,0,1,2,1,0,2,0
216_23,1,2,0,0,1,2,1,0,2,2
216_22,1,2,1,0,1,2,1,0,2,0
I6,1,2,0,0,1,2,1,0,2,0
216_21,1,2,0,0,1,2,1,0,2,0
216_20,1,2,0,0,1,2,1,0,2,1
I7,0,1,0,0,1,0,0,2,0,0
I8,0,1,0,0,1,2,2,2,1,2
I9,0,1,0,0,1,2,2,2,1,2
216_4,0,1,0,0,1,2,2,2,1,2
216_3,0,1,0,0,1,2,2,2,1,2
I10,0,1,1,0,1,2,2,2,1,2
216_2,0,1,1,1,1,2,2,2,1,2
216_1,0,1,1,0,1,2,2,2,1,2
I11,0,1,0,2,1,0,0,2,0,2
I12,1,1,1,2,1,0,2,2,0,2
I13,1,1,1,2,1,0,2,2,0,2
I14,1,1,1,2,1,2,2,2,0,2
216_10,1,1,1,2,1,2,2,2,0,2
216_9,1,1,1,2,1,2,2,2,0,2
I15,1,1,1,2,1,0,2,2,0,2
216_12,1,1,1,2,1,0,2,2,0,2
216_11,1,1,1,2,1,0,2,2,0,2
I16,1,1,1,2,1,0,2,2,0,2
I17,1,1,1,2,1,0,2,2,2,2
216_8,1,1,1,2,1,0,2,2,2,2
216_7,1,1,1,2,1,0,2,2,2,2
I18,1,1,1,2,1,0,2,2,0,2
216_6,1,1,1,2,1,0,2,2,2,2
216_5,1,1,1,2,1,0,2,2,0,2
I19,0,1,0,2,1,0,0,2,0,2
I20,0,1,0,2,1,0,0,2,0,2
216_13,0,1,1,2,1,0,2,2,0,2
I21,0,1,0,2,1,0,0,2,0,2
216_15,0,1,0,2,1,0,0,2,0,2
216_14,0,1,0,2,1,0,0,2,0,2
I22,0,1,0,2,1,0,0,2,0,2
216_19,0,1,0,2,1,0,0,2,2,2
I23,0,1,2,2,1,0,0,2,0,2
216_17,0,1,2,2,1,0,0,2,0,2
216_16,0,1,2,2,1,0,0,2,1,2
Evolve tree: [&R] ((((((216_16:0.066,216_17:0.066)I23:0.318,216_19:0.384)I22:0.276,((216_14:0.09,216_15:0.09)I21:0.276,216_13:0.366)I20:0.294)I19:0.216,(((216_5:0.114,216_6:0.114)I18:0.21,(216_7:0.096,216_8:0.096)I17:0.228)I16:0.28200000000000003,((216_11:0.078,216_12:0.078)I15:0.246,(216_9:0.054,216_10:0.054)I14:0.27)I13:0.28200000000000003)I12:0.27)I11:0.234,((216_1:0.108,216_2:0.108)I10:0.252,(216_3:0.096,216_4:0.096)I9:0.264)I8:0.75)I7:0.18,(((216_20:0.114,216_21:0.114)I6:0.294,(216_22:0.096,216_23:0.096)I5:0.312)I4:0.684,((216_24:0.096,216_25:0.096)I3:0.318,216_26:0.41400000000000003)I2:0.678)I1:0.198)I0:0;
