pos_1,pos_2,progenitor,descendants_1,descendants_2
217,227,1,1,
194,217,2,2,
209,185,3,3,
204,168,4,4,
193,176,5,5,
187,167,6,6,
178,156,7,7,8
198,158,8,9,
174,136,9,10,
134,139,10,11,
106,148,11,12,
163,150,12,13,
152,126,13,14,
198,148,14,15,
199,127,15,16,
126,240,16,17,
120,216,17,18,
124,231,18,19,
129,202,19,20,
126,182,20,21,
152,179,21,22,
137,167,22,23,
154,158,23,24,
117,197,24,25,
112,183,25,26,
143,212,26,27,
142,192,27,28,
159,199,28,29,
172,186,29,30,
176,211,30,31,
186,198,31,32,
