pos_1,pos_2,progenitor,descendants_1,descendants_2
325,168,1,1,
302,161,2,2,
367,125,3,3,
339,142,4,4,
284,195,5,5,
293,156,6,6,
285,148,6,7,
359,114,7,8,
302,93,8,9,
327,149,9,10,
324,134,10,11,
355,153,11,12,
369,143,12,13,
308,126,13,14,15
332,118,14,16,
429,130,15,17,
404,121,16,18,
388,114,17,19,
398,90,18,20,
373,106,19,21,
353,86,20,22,
374,89,21,23,
363,63,22,24,
277,85,23,25,
299,69,24,26,
340,95,25,27,
342,83,26,28,
341,70,27,29,
330,71,28,30,
315,74,28,31,
312,48,29,32,
350,57,30,33,
