pos_1,pos_2,progenitor,descendants_1,descendants_2
326,168,1,1,
305,161,2,2,
363,125,3,3,
337,142,4,4,
284,195,5,5,
294,154,6,6,
285,144,7,7,
360,112,8,8,
300,94,9,9,10
320,148,10,11,
324,134,11,12,
355,155,12,13,
370,141,13,14,
307,135,14,15,
307,117,15,16,
330,117,16,17,
431,132,17,18,
405,118,18,19,
390,112,19,20,
398,89,20,21,
373,104,21,22,
355,84,22,23,
374,89,23,24,
365,60,24,25,
276,81,25,26,
299,69,26,27,
340,94,27,28,
342,84,28,29,
342,70,29,30,
329,73,30,31,
315,72,31,32,
315,50,32,33,
351,55,33,34,
