	0
122_4	121
123_3	122
124_1	123
127_3	126
162_8	161
163_7	162
166_5	165
167_7	166
170_1	169
170_3	169
171_3	170
173_7	172
197_13	196
200_12	199
201_18	200
202_17	201
203_9	202
204_1	203
204_18	203
205_3	204
206_8	205
208_7	207
210_11	209
211_6	210
212_5	211
216_1	215
216_10	215
216_11	215
216_12	215
216_13	215
216_14	215
216_16	215
216_17	215
216_18	215
216_2	215
216_20	215
216_21	215
216_23	215
216_24	215
216_25	215
216_26	215
216_27	215
216_28	215
216_29	215
216_3	215
216_30	215
216_31	215
216_32	215
216_4	215
216_5	215
216_6	215
216_7	215
216_8	215
216_9	215
32_1	31
75_2	74
77_1	76
