216_7,333.0,406.0
216_6,352.0,406.0
216_1,338.0,443.0
216_3,328.0,419.0
216_10,261.0,368.0
216_9,283.0,374.0
216_8,265.0,383.0
216_14,327.0,364.0
216_13,312.0,359.0
216_12,308.0,372.0
216_11,298.0,371.0
216_42,313.0,332.0
216_41,328.0,350.0
216_40,287.0,343.0
216_39,298.0,358.0
216_46,315.0,280.0
216_45,317.0,296.0
216_44,304.0,298.0
216_43,295.0,325.0
216_36,295.0,386.0
216_35,298.0,411.0
216_32,281.0,400.0
216_31,303.0,424.0
216_30,284.0,315.0
216_29,264.0,337.0
216_27,246.0,356.0
216_26,247.0,385.0
216_22,240.0,403.0
216_21,257.0,421.0
216_20,225.0,399.0
216_19,194.0,401.0
216_16,299.0,487.0
216_15,268.0,487.0
216_18,274.0,443.0
