	0
130_7	130
132_5	132
135_4	135
136_9	136
140_1	140
146_3	146
173_14	173
173_6	173
175_14	175
178_10	178
179_13	179
181_12	181
185_1	185
186_3	186
187_13	187
187_5	187
189_22	189
208_12	208
209_11	209
216_1	216
216_11	216
216_12	216
216_13	216
216_14	216
216_15	216
216_17	216
216_18	216
216_19	216
216_2	216
216_20	216
216_21	216
216_22	216
216_23	216
216_24	216
216_25	216
216_26	216
216_27	216
216_28	216
216_29	216
216_3	216
216_30	216
216_4	216
216_5	216
216_6	216
216_8	216
38_2	38
40_1	40
83_3	83
89_2	89
97_1	97
virtual	1
