condition k rep method nodeAge trueBrlen estBrlen
s10c2 k10 r1 spalin_all 188 63.0 78.437
s10c2 k10 r1 spalin_all 201 44.0 44.1685
s10c2 k10 r1 spalin_all 205 43.0 60.9872
s10c2 k10 r1 spalin_all 210 48.0 62.7115
s10c2 k10 r1 spalin_all 210 53.0 94.819
s10c2 k10 r1 spalin_all 216 6.0 17.1587
s10c2 k10 r1 spalin_all 216 42.0 70.4
s10c2 k10 r1 spalin_all 216 42.0 78.1128
s10c2 k10 r1 spalin_all 216 42.0 23.3187
s10c2 k10 r1 spalin_all 216 28.0 40.4815
s10c2 k10 r1 spalin_all 216 28.0 5.80322
s10c2 k10 r1 spalin_all 216 91.0 102.183
s10c2 k10 r1 spalin_all 216 41.0 26.7105
s10c2 k10 r1 spalin_all 216 41.0 93.6317
s10c2 k10 r1 spalin_all 216 41.0 55.8612
s10c2 k10 r1 spalin_all 216 6.0 38.8372
s10c2 k10 r1 spalin_all 216 41.0 57.6633
s10c2 k10 r1 spalin_all 216 11.0 32.0752
s10c2 k10 r1 spalin_all 216 11.0 13.15
s10c2 k10 r1 spalin_all 216 6.0 31.376
s10c2 k10 r1 spalin_all 216 6.0 16.4238
s10c2 k10 r1 spalin_all 216 15.0 43.2597
s10c2 k10 r1 spalin_all 216 15.0 19.4802
s10c2 k10 r1 spalin_all 216 42.0 41.3215
s10c2 k10 r1 spalin_leaves 20 19.0 0
s10c2 k10 r1 spalin_leaves 62 42.0 0.833333
s10c2 k10 r1 spalin_leaves 62 42.0 90.495
s10c2 k10 r1 spalin_leaves 108 46.0 32.8267
s10c2 k10 r1 spalin_leaves 119 57.0 0.833333
s10c2 k10 r1 spalin_leaves 119 57.0 0.833333
s10c2 k10 r1 spalin_leaves 125 63.0 144.884
s10c2 k10 r1 spalin_leaves 157 49.0 0.833333
s10c2 k10 r1 spalin_leaves 162 54.0 40.58
s10c2 k10 r1 spalin_leaves 174 55.0 181.357
s10c2 k10 r1 spalin_leaves 174 55.0 116.968
s10c2 k10 r1 spalin_leaves 175 56.0 181.357
s10c2 k10 r1 spalin_leaves 175 56.0 0.833333
s10c2 k10 r1 spalin_leaves 188 63.0 126.526
s10c2 k10 r1 spalin_leaves 201 44.0 0.833333
s10c2 k10 r1 spalin_leaves 205 43.0 45.9305
s10c2 k10 r1 spalin_leaves 210 48.0 116.275
s10c2 k10 r1 spalin_leaves 210 53.0 101.408
s10c2 k10 r1 spalin_leaves 216 6.0 0.833333
s10c2 k10 r1 spalin_leaves 216 42.0 110.508
s10c2 k10 r1 spalin_leaves 216 42.0 99.968
s10c2 k10 r1 spalin_leaves 216 42.0 0.833333
s10c2 k10 r1 spalin_leaves 216 28.0 0.833333
s10c2 k10 r1 spalin_leaves 216 28.0 37.9658
s10c2 k10 r1 spalin_leaves 216 91.0 0.833333
s10c2 k10 r1 spalin_leaves 216 41.0 0.833333
s10c2 k10 r1 spalin_leaves 216 41.0 33.6672
s10c2 k10 r1 spalin_leaves 216 41.0 108.873
s10c2 k10 r1 spalin_leaves 216 6.0 68.6633
s10c2 k10 r1 spalin_leaves 216 41.0 138.458
s10c2 k10 r1 spalin_leaves 216 11.0 50.8033
s10c2 k10 r1 spalin_leaves 216 11.0 0.833333
s10c2 k10 r1 spalin_leaves 216 6.0 56.5945
s10c2 k10 r1 spalin_leaves 216 6.0 0.833333
s10c2 k10 r1 spalin_leaves 216 15.0 28.6687
s10c2 k10 r1 spalin_leaves 216 15.0 32.2227
s10c2 k10 r1 spalin_leaves 216 42.0 0.833333
s10c3 k10 r1 problin virtual 0 0
s10c3 k10 r1 problin 34 33.0 0.833333
s10c3 k10 r1 problin 77 43.0 28.1388
s10c3 k10 r1 problin 85 51.0 12.9205
s10c3 k10 r1 problin 91 90.0 97.8458
s10c3 k10 r1 problin 136 59.0 70.2068
s10c3 k10 r1 problin 140 49.0 37.851
s10c3 k10 r1 problin 140 49.0 0.833333
s10c3 k10 r1 problin 152 67.0 25.2325
s10c3 k10 r1 problin 157 72.0 116.08
s10c3 k10 r1 problin 182 42.0 47.7915
s10c3 k10 r1 problin 185 49.0 6.025
s10c3 k10 r1 problin 186 46.0 0.833333
s10c3 k10 r1 problin 187 51.0 0.833333
s10c3 k10 r1 problin 196 44.0 29.6897
s10c3 k10 r1 problin 197 45.0 60.2015
s10c3 k10 r1 problin 208 51.0 54.5727
s10c3 k10 r1 problin 209 69.0 37.8813
