cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,2,0,1,2,1,0,2,1
I1,1,0,2,0,1,2,1,0,2,1
I2,1,1,2,0,1,2,1,2,2,1
216_2,1,1,2,1,1,2,1,2,2,1
216_1,1,1,2,0,1,2,1,2,2,1
I3,1,0,2,0,1,2,1,0,2,1
216_4,1,0,2,2,1,2,1,2,2,1
216_3,1,0,2,0,1,2,1,0,2,1
I4,0,0,2,1,1,2,1,0,2,1
I5,0,0,2,1,1,2,1,0,2,1
216_10,0,1,2,1,1,2,1,0,2,1
216_9,0,0,2,1,1,2,1,0,2,1
I6,0,0,2,1,1,2,1,0,2,1
I7,0,0,2,1,1,2,1,1,2,1
216_8,0,0,2,1,1,2,1,1,2,1
216_7,0,0,2,1,1,2,1,1,2,1
I8,0,0,2,1,1,2,1,0,2,1
216_6,0,0,2,1,1,2,1,0,2,1
216_5,0,0,2,1,1,2,1,0,2,1
Evolve tree: [&R] ((((216_5:0.020186915887850092,216_6:0.020186915887850092)I8:0.1686915887850442,(216_7:0.020186915887850092,216_8:0.020186915887850092)I7:0.1686915887850442)I6:0.25736448598130596,(216_9:0.17457943925233374,216_10:0.17457943925233374)I5:0.27166355140186654)I4:0.42454205607476464,((216_3:0.19850467289719326,216_4:0.19850467289719326)I3:0.23635514018691364,(216_1:0.17457943925233374,216_2:0.17457943925233374)I2:0.2602803738317732)I1:0.435925233644858)I0:0.4192149532710278;
