model treeID cellID true_x true_y estimated_x estimated_y
Gaussian s14c2 205_10 124.0 169.0 122.3688593996981 171.83930595056128
Gaussian s14c2 160_6 166.0 162.0 157.66675216092466 173.9156875290393
Gaussian s14c2 209_13 184.0 166.0 180.37778347739516 164.66104583526948
Gaussian s14c2 198_10 150.0 166.0 154.70214403081513 168.32428059066675
Gaussian s14c2 107_1 124.0 211.0 127.56345600603646 216.79490182515568
Gaussian s14c2 156_1 124.0 231.0 131.2663218625699 223.11450063668076
Gaussian s14c2 201_2 139.0 222.0 140.89518883750986 220.01635723381133
Gaussian s14c2 201_1 118.0 232.0 125.03804598036695 232.0163572338113
Gaussian s14c2 152_2 122.0 216.0 124.16286491330197 210.99118863089842
Gaussian s14c2 197_3 129.0 211.0 133.93664617754848 207.28286774300136
Gaussian s14c2 195_4 107.0 212.0 111.57402021662952 208.98892487148487
Gaussian s14c3 47_1 310.0 178.0 328.61938040536904 170.13523098740916
Gaussian s14c3 104_1 322.0 203.0 331.4780971273942 191.61143554365455
Gaussian s14c3 154_3 315.0 209.0 327.16055874183087 200.8897035257725
Gaussian s14c3 198_7 326.0 185.0 327.857453371255 180.64164776852778
Gaussian s14c3 193_3 324.0 227.0 323.17517674318844 226.07389288210618
Gaussian s14c3 152_1 348.0 207.0 338.0302743750375 200.78952317029422
Gaussian s14c3 197_2 352.0 188.0 348.3263781020703 188.99083431408764
Gaussian s14c3 197_1 336.0 225.0 333.8768368176667 221.1926691764731
Gaussian s14c3 102_2 329.0 179.0 331.06469925774695 166.45745191342718
Gaussian s14c3 156_7 332.0 163.0 330.70167830633375 152.98480425479352
Gaussian s14c3 152_3 335.0 188.0 333.62384690683547 175.5886901496168
Gaussian s14c3 206_9 327.0 205.0 328.4765971954945 201.1346347584421
Gaussian s14c3 38_2 310.0 154.0 324.2671700903355 155.8795178150636
Gaussian s14c3 89_5 308.0 161.0 312.69765510096215 158.3693022090222
Gaussian s14c3 142_8 316.0 161.0 313.0887575947879 166.19284969894795
Gaussian s14c3 140_8 288.0 141.0 300.7517962024298 153.33076732021965
Gaussian s14c3 185_13 297.0 174.0 291.52517962024365 170.1330767320224
Gaussian s14c3 184_15 300.0 110.0 299.46714565398406 132.55487128539357
Gaussian s14c3 87_3 325.0 160.0 335.3829786095273 153.48737202478446
Gaussian s14c3 156_10 310.0 155.0 319.8263089054692 150.03349884656814
Gaussian s14c3 141_5 361.0 161.0 359.80783828992935 153.55416090824318
Gaussian s14c4 25_1 224.0 165.0 229.99999999999866 162.99999999999912
Gaussian s14c4 82_1 224.0 163.0 247.2529632763361 167.66114215687446
Gaussian s14c4 130_1 247.0 181.0 270.6976744834511 167.34651393992505
Gaussian s14c4 190_1 282.0 179.0 282.60157019244593 183.53595490296095
Gaussian s14c4 184_2 268.0 173.0 286.3594684533607 152.42206032912617
Gaussian s14c4 128_2 200.0 152.0 238.7085590837546 171.72428435980692
Gaussian s14c4 192_5 182.0 199.0 193.90135143427557 201.8512027936527
Gaussian s14c4 185_5 236.0 150.0 268.02734711445885 149.92726079416622
Gaussian s14c5 34_3 295.0 200.0 285.77572447369744 199.4983174229644
Gaussian s14c5 86_7 302.0 177.0 285.1843104683215 181.08901990539965
Gaussian s14c5 147_9 302.0 189.0 288.3947701561059 172.36300663513225
Gaussian s14c5 200_18 307.0 172.0 300.2157075614564 169.00662382100086
Gaussian s14c5 200_17 273.0 180.0 279.36324854506245 168.13777136198414
Gaussian s14c5 81_5 289.0 201.0 287.45763079912393 214.74973826408694
Gaussian s14c5 148_7 260.0 232.0 272.04707927026845 214.91889002200554
Gaussian s14c5 200_16 266.0 237.0 267.239610569369 232.75585200293392
Gaussian s14c5 197_12 258.0 214.0 265.3067906507281 198.23469154203542
Gaussian s14c5 31_1 284.0 210.0 284.9701319482958 200.4726964272135
Gaussian s14c5 70_3 281.0 188.0 286.7457931110224 186.1647228891439
Gaussian s14c5 115_3 290.0 191.0 289.2901871730503 185.6713102234329
Gaussian s14c5 162_4 282.0 189.0 287.6789266076669 174.97346957966002
Gaussian s14c5 207_9 288.0 187.0 282.51626605524444 183.17940632542508
Gaussian s14c5 203_10 289.0 173.0 290.9771162726278 158.1647905740585
Gaussian s14c5 162_3 289.0 212.0 293.5589259809906 195.85380874968075
Gaussian s14c5 200_6 308.0 201.0 302.1841610401734 199.69196673907544
Gaussian s14c5 197_3 300.0 208.0 288.79347858021305 199.9013749016183
Gaussian s14c5 106_4 262.0 182.0 286.3493497039182 173.3520928327257
Gaussian s14c5 155_5 261.0 207.0 274.3993538381169 185.80485773498685
Gaussian s14c5 202_11 286.0 200.0 281.7365452493732 197.13866079064235
Gaussian s14c5 201_12 270.0 200.0 255.9999094165578 186.40255014976418
Gaussian s14c5 152_6 254.0 162.0 297.0611465940287 145.29004814717445
Gaussian s14c5 205_16 314.0 121.0 312.4074582267892 126.00162845828149
Gaussian s14c5 196_10 278.0 140.0 294.56687899889505 134.46112002725522
Gaussian s14c5 68_1 285.0 225.0 283.28553033237404 214.04692773256065
Gaussian s14c5 107_2 274.0 213.0 283.58279202923904 219.3276961908579
Gaussian s14c5 156_1 279.0 244.0 281.48870820386287 224.25536437175643
Gaussian s14c5 200_3 274.0 219.0 268.38287818520905 218.11620990334671
Gaussian s14c5 198_1 298.0 239.0 292.2038896830319 234.3391819479553
Gaussian s14c6 5_1 334.0 351.0 332.49999999999886 345.99999999999875
Gaussian s14c6 58_3 306.0 348.0 316.70197503097125 341.65033476667236
Gaussian s14c6 119_3 295.0 322.0 304.8770854757061 325.17000830006543
Gaussian s14c6 171_5 286.0 310.0 298.76466667326406 312.35149438582323
Gaussian s14c6 215_13 302.0 294.0 302.45802996262114 291.2399044313016
Gaussian s14c6 213_10 287.0 323.0 290.3022298852843 322.15005153054494
Gaussian s14c6 170_3 302.0 323.0 300.9855746919218 323.96337872811307
Gaussian s14c6 207_5 292.0 337.0 292.528556291895 333.3574748018435
Gaussian s14c6 203_6 305.0 319.0 306.01028444297464 314.8041002970316
Gaussian s14c6 115_1 313.0 354.0 310.7611332521673 352.37204223321135
Gaussian s14c6 178_3 316.0 349.0 308.97229707266933 349.958259889069
Gaussian s14c6 214_5 319.0 351.0 322.1343864073692 348.53941242943404
Gaussian s14c6 171_1 310.0 364.0 306.5145933717099 365.05123387464494
Gaussian s14c6 211_1 299.0 369.0 300.38321137480625 377.708896110273
Gaussian s14c6 56_1 349.0 341.0 332.49999999999943 345.99999999999926
Gaussian s15c1 24_1 86.0 397.0 70.66960496622946 411.5179179033606
Gaussian s15c1 81_3 87.0 399.0 83.80923556547235 410.151101685604
Gaussian s15c1 138_7 111.0 415.0 97.17700701473595 420.2878160939255
Gaussian s15c1 190_11 115.0 436.0 102.23540140294718 441.65756321878496
Gaussian s15c1 135_5 76.0 387.0 83.59310212860984 399.25302003984484
Gaussian s15c1 192_8 62.0 417.0 74.01619167454096 420.1092208764958
Gaussian s15c1 187_9 87.0 362.0 92.12180422353137 369.73186151244676
Gaussian s15c1 70_1 90.0 408.0 70.66960496622929 411.51791790335983
Gaussian s15c1 127_1 92.0 401.0 86.64891330540583 418.76686539333497
Gaussian s15c1 198_1 100.0 432.0 93.17300274685834 447.3737723567517
Gaussian s15c1 185_2 86.0 400.0 97.57902253379328 402.7739648108403
Gaussian s15c1 122_2 62.0 386.0 56.09199034101648 404.9048430002301
Gaussian s15c1 179_3 36.0 407.0 39.41326915640808 408.7515178212486
Gaussian s15c1 176_4 68.0 383.0 56.754591984058614 394.3932008108742
Gaussian s15c2 5_1 140.0 270.0 136.71336862892474 287.3725841419252
Gaussian s15c2 57_3 136.0 256.0 146.39275459107694 268.5046569392388
Gaussian s15c2 136_5 141.0 271.0 133.76462426214601 254.37609959535712
Gaussian s15c2 199_10 131.0 239.0 139.25873155563949 246.5552006511956
Gaussian s15c2 127_6 161.0 257.0 170.61217980237666 255.62449902806418
Gaussian s15c2 188_13 157.0 251.0 170.52094022977678 250.64323981857177
Gaussian s15c2 187_11 194.0 249.0 191.4614309682478 249.48396289807968
Gaussian s15c2 47_1 121.0 286.0 136.71336862892545 287.372584141927
Gaussian s15c2 108_1 132.0 291.0 145.6749516973715 294.6174741281107
Gaussian s15c2 174_1 122.0 304.0 134.5422297200555 300.21801099644074
