cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_4,1,1,1,0,0,2,1,2,0,2
216_3,1,1,1,0,0,2,1,2,0,2
216_17,0,1,1,2,2,1,1,0,2,2
216_11,0,1,1,2,2,1,1,0,2,2
216_10,0,1,1,2,2,1,1,0,2,2
216_13,0,1,1,2,2,1,1,0,2,2
216_12,0,1,1,2,2,1,1,0,2,2
216_23,0,0,1,0,2,1,2,0,1,1
216_22,0,0,1,0,2,1,2,0,1,1
216_21,0,0,1,0,2,1,2,0,1,1
216_20,0,0,1,0,2,1,2,0,1,1
216_25,1,1,1,1,2,1,2,0,1,1
216_24,1,1,1,1,2,1,2,0,1,1
216_27,1,1,1,1,2,1,2,2,1,1
216_26,1,1,1,1,2,1,2,2,1,1
216_39,0,0,2,0,0,1,2,1,2,2
216_38,1,0,2,0,0,1,2,1,2,2
216_37,0,0,2,0,2,1,2,1,2,2
216_36,0,0,2,0,2,1,2,1,2,2
216_35,1,1,1,0,0,1,2,1,2,2
216_34,1,1,1,0,0,1,2,1,2,2
216_33,1,1,0,0,0,1,2,1,2,2
216_32,1,1,0,0,0,1,2,1,2,2
216_47,0,0,0,0,1,1,2,1,1,0
216_46,0,0,0,0,1,1,2,1,1,0
216_45,2,0,0,0,0,1,2,1,1,1
216_44,0,0,0,0,0,1,2,1,1,1
216_41,0,0,1,0,0,1,2,1,1,0
216_40,0,0,1,0,2,1,2,1,1,0
216_43,1,0,1,0,2,1,2,1,1,0
216_42,0,0,1,0,2,1,2,1,1,0
