[&R] (((((216_9:1.029,216_10:3.029)202_8:7.473,216_8:10.502)164_4:9.877,((216_11:0.001,216_12:0.001)209_11:11.761,216_13:10.762)164_5:5.617)124_4:17.07,(((216_17:2.039,216_18:3.039)205_15:3.325,216_15:13.364)165_8:11.65,((216_21:4.065,216_22:2.065)201_15:3.12,(216_19:2.008,216_20:0.008)203_16:8.178)165_9:14.829)125_6:16.435)83_3:94.551)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83_3,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0,0,0,0,0:0.02/2:0.98,0,0,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0
125_6,1,2,2,2,2,2,0,0,0:0.06/1:0.94,0,0,0,2,1,2,1,0,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,0:0.06/1:0.94,0,0,0,0:0.06/2:0.94,1,0,0,1,0,2,0,0:0.06/2:0.94,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0:0.06/1:0.94,2,0,1,2,0,0,1,2,0,2,1,0:0.06/1:0.94,0,1,2,1,1,0:0.06/2:0.94,0:0.06/1:0.94,0,2,1,1,0,1,2,0,0,0,2,0,1,0:0.06/2:0.94,1,1,0,1,2,0,0:0.06/2:0.94,2,0,0,0,1,0,0,2,0,1,0,2,0,0,0:0.06/2:0.94,1,0,0,2,0,2,1,2,0,0,0,0,1,0,1,0:0.06/2:0.94,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0:0.06/1:0.94,0,0,0,2,0,0,0:0.06/2:0.94,0,1,0,2,0,0,0:0.06/1:0.94,1,0,2,0:0.06/1:0.94,0,0,1,0
165_9,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,0,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0:0.01/1:0.99,1,1,0,1,2,1,0:0.01/2:0.99,0:0.01/1:0.99,1,1,0,1,0,0,0,2,1,0,0,1,0,2,0,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0:0.01/2:0.99,1,2,0,0,0,2,0,1,2,1,1,0:0.01/1:0.99,1,2,0,2,2,0,0:0.01/2:0.99,0,1,0,0,2,0,1,0:0.01/2:0.99,2,0:0.01/2:0.99,0,2,1,0,0:0.01/1:0.99,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,0:0.01/1:0.99,2,0,1,2,0:0.01/2:0.99,2,0,1,1,2,0,0,1,0,0,0,2,0,0,2,0:0.01/2:0.99,1,0,2,0,0:0.01/2:0.99,1,1,0,2,1,0,0,1,0:0.01/1:0.99
203_16,1,2,2,2,2,2,2,0,1,0,0,0,2,1,2,1,1,1,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,2,0,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,2,1,2,0,2,1,1,2,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,0,0,2,0,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,0,1,0,0,0,2,0,2,2,2,1,0,2,0,2,1,1,2,2,1,0,0,1,1
216_20,1,2,2,2,2,2,2,0,1,0,0,0,2,1,2,1,1,1,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,2,0,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,2,1,2,0,2,1,1,2,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,0,0,2,0,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,0,1,0,0,0,2,0,2,2,2,1,0,2,0,2,1,1,2,2,1,0,0,1,1
216_19,1,2,2,2,2,2,2,0,1,0,0,0,2,1,2,1,1,1,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,1,0,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,2,0,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,2,1,2,0,2,1,1,2,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,0,0,2,0,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,0,1,0,0,0,2,0,2,2,2,1,0,2,0,2,1,1,2,2,1,0,0,1,1
201_15,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,0,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,2,0:0.02/1:0.98,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,0,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,0:0.02/2:0.98,0,2,0,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,0:0.02/2:0.98,1,0,0,0,2,0,0,2,2,1,0,2,0,2,1,1,0,2,1,0,0,1,1
216_22,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,0,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,2,1,2,2,1,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,0,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,2,0,2,2,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,2,1,0,0,0,2,0,0,2,2,1,0,2,0,2,1,1,0,2,1,0,0,1,1
216_21,1,2,2,2,2,2,0,1,1,0,1,2,2,1,2,1,0,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,1,1,1,0,1,2,1,2,1,1,1,0,1,1,0,0,2,1,0,0,1,0,2,1,2,2,0,0,0,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,0,2,0,1,2,1,1,1,1,2,0,2,2,0,2,0,1,2,0,2,0,1,2,2,2,0,2,1,0,1,2,0,2,1,2,0,0,0,0,1,0,1,2,1,1,1,2,0,1,2,2,2,0,1,1,2,0,2,1,0,0,0,2,0,0,2,2,1,0,2,0,2,1,1,0,2,1,0,0,1,1
