[&R] (((((216_9:4.068,216_10:2.068)202_8:7.641,216_8:13.709)164_4:17.237,((216_11:1.008,216_12:1.008)209_11:14.495,216_13:15.503)164_5:18.443)124_4:20.345,(((216_17:0.002,216_18:1.002)205_15:14.96,216_15:8.962)165_8:16.756,((216_21:3.049,216_22:2.049)201_15:9.991,(216_19:5.053,216_20:0.053)203_16:14.987)165_9:16.678)125_6:21.573)83_3:86.709)I0;
165_8,0,0,2,2,1,2,0,2,1,1,0,0:0.05/2:0.95,0,1,0,2,1,2,0:0.05/2:0.95,2,0,0,2,2,2,2,0,2,0,0:0.05/1:0.95,2,2,2,0,1,0,1,0,1,2,0:0.05/2:0.95,0,1,1,0,0,1,0,0,0,0:0.05/1:0.95,2,0,0,1,0,1,0,0,1,2,2,1,0,1,0,2,2,0,1,1,0,1,2,0,0,0:0.05/2:0.95,0,0,1,2,2,0,0,0:0.05/2:0.95,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,0,0,2,0:0.05/2:0.95,2,1,0,2,0,0,2,2,2,2,2,1,2,1,0,0,2,2,2,1,0:0.05/2:0.95,0,0,1,1,0,1,0:0.05/2:0.95,0,2,1,2,2,2,0,0,2,0,0,0,0,2,2,1,1,2,2,0,0:0.05/1:0.95,0:0.05/1:0.95,0,2,0,2,0,0,0,2,2,1,2,2,1,0,0,1,1,2,2,0,0,0:0.05/1:0.95,0,1,0,2,0:0.05/2:0.95,1,1,0:0.05/2:0.95,0,0,2,0,0:0.05/1:0.95,0,1,0,0,0,2,2,1,1
216_15,0,0,2,2,1,2,0,2,1,1,0,2,0,1,1,2,1,2,2,2,0,0,2,2,2,2,0,2,0,1,2,2,2,0,1,0,1,0,1,2,2,0,1,1,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,2,2,1,0,1,0,2,2,0,1,1,0,1,2,1,0,2,0,0,1,2,2,0,0,2,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,0,0,2,2,2,1,0,2,1,2,2,2,2,2,2,1,2,1,1,0,2,2,2,1,2,2,0,1,1,0,1,2,0,2,1,2,2,2,0,0,2,0,0,0,0,2,2,1,1,2,2,0,1,1,0,2,2,2,0,0,0,2,2,1,2,2,1,2,0,1,1,2,2,0,0,1,0,1,0,2,2,1,1,2,0,0,2,0,1,0,1,0,0,0,2,2,1,1
205_15,1,0,2,2,1,2,0,2,1,1,0,2,0,1,0,2,1,2,2,2,0,0,2,2,2,2,0,2,2,1,2,2,2,1,1,0,1,0,1,2,2,0,1,1,0,1,1,0,0,0,1,2,0,0,1,0,1,0,2,1,2,2,1,0,1,2,2,2,0,1,1,0,1,2,0,1,2,0,0,1,2,2,0,0,2,1,2,2,1,1,1,2,2,2,0,1,1,2,1,0,1,1,2,0,2,2,2,1,2,2,0,0,2,2,2,2,2,1,2,1,0,0,2,2,2,1,2,0,0,1,1,2,1,2,0,2,1,2,2,2,0,0,2,0,0,0,0,2,2,1,1,2,2,0,1,1,0,2,0,2,0,0,1,2,2,1,2,2,1,0,0,1,1,2,2,0,0,1,0,1,0,2,2,1,1,2,0,1,2,0,1,0,1,0,0,0,2,2,1,1
216_18,1,0,2,2,1,2,0,2,1,1,0,2,2,1,0,2,1,2,2,2,0,0,2,2,2,2,0,2,2,1,2,2,2,1,1,0,1,0,1,2,2,0,1,1,0,1,1,0,0,0,1,2,0,0,1,0,1,0,2,1,2,2,1,0,1,2,2,2,0,1,1,0,1,2,0,1,2,0,0,1,2,2,0,0,2,1,2,2,1,1,1,2,2,2,0,1,1,2,1,0,1,1,2,0,2,2,2,1,2,2,0,0,2,2,2,2,2,1,2,1,0,0,2,2,2,1,2,0,0,1,1,2,1,2,0,2,1,2,2,2,0,0,2,0,0,0,0,2,2,1,1,2,2,0,1,1,0,2,0,2,0,0,1,2,2,1,2,2,1,0,0,1,1,2,2,0,0,1,0,1,0,2,2,1,1,2,0,1,2,0,1,0,1,0,0,0,2,2,1,1
216_17,1,0,2,2,1,2,0,2,1,1,0,2,0,1,0,2,1,2,2,2,0,0,2,2,2,2,0,2,2,1,2,2,2,1,1,0,1,0,1,2,2,0,1,1,0,1,1,0,0,0,1,2,0,0,1,0,1,0,2,1,2,2,1,0,1,2,2,2,0,1,1,0,1,2,0,1,2,0,0,1,2,2,0,0,2,1,2,2,1,1,1,2,2,2,0,1,1,2,1,0,1,1,2,0,2,2,2,1,2,2,0,0,2,2,2,2,2,1,2,1,0,0,2,2,2,1,2,0,0,1,1,2,1,2,0,2,1,2,2,2,0,0,2,0,0,0,0,2,2,1,1,2,2,0,1,1,0,2,0,2,0,0,1,2,2,1,2,2,1,0,0,1,1,2,2,0,0,1,0,1,0,2,2,1,1,2,0,1,2,0,1,0,1,0,0,0,2,2,1,1
124_4,0,0,2,2,1,2,0,0,1,1,0,0,0,1,0,2,1,2,0,2,0:0.09/2:0.91,0,2,0,2,2,0,2,0,0,2,2,2,0:0.09/2:0.91,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0:0.09/1:0.91,0,2,0,0,1,0,1,0,0,1,2,0,1,0,1,0,2,2,0,1,1,0:0.09/1:0.91,1,2,0,0,0,0,0,1,2,2,0:0.09/2:0.91,0,0,1,0,2,0,1,0,0,2,2,0,1,1,2,1,0,1,0,0,0,0,0,2,1,0,2,0,0:0.09/2:0.91,0,2,0,0,2,0:0.09/2:0.91,2,1,0,0:0.09/1:0.91,2,2,2,1,0,0,0,1,1,0,1,0,0,2,1,2,2,0,0,0,0,0,0,0,0:0.09/1:0.91,2,2,1,1,2,2,0,0:0.09/2:0.91,0:0.09/2:0.91,0,2,0:0.09/1:0.91,2,0:0.09/1:0.91,0:0.09/1:0.91,0,0,2,1,2,2,1,0:0.09/1:0.91,0,0,1,2,0,0:0.09/1:0.91,0,0,0,1,0,0:0.09/1:0.91,0,1,1,0,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0,0,0,0,0:0.09/1:0.91,0,2,2,1,1
164_5,0,0,2,2,1,2,0,0:0.08/2:0.92,1,1,0,0,0,1,0,2,1,2,0,2,0:0.01/2:0.99,0,2,0,2,2,0,2,0,0:0.08/2:0.92,2,2,2,0:0.01/2:0.99,1,0,1,0,1,2,0,0,0,1,0,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.01/1:0.99,0,2,0:0.08/1:0.92,0,1,0,1,0,0,1,2,0,1,0:0.08/1:0.92,1,0:0.08/1:0.92,2,2,0,1,1,0:0.01/1:0.99,1,2,0,0,0:0.08/1:0.92,0,0:0.08/1:0.92,1,2,2,0:0.01/2:0.99,0,0,1,0,2,0:0.08/1:0.92,1,0:0.08/2:0.92,0,2,2,0,1,1,2,1,0,1,0,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.08/1:0.92,2,1,0,2,0,0:0.01/2:0.99,0,2,0,0,2,0:0.01/2:0.99,2,1,0,0:0.01/1:0.99,2,2,2,1,0,0,0,1,1,0,1,0,0,2,1,2,2,0,0,0,0,0:0.08/2:0.92,0,0:0.08/1:0.92,0:0.01/1:0.99,2,2,1,1,2,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,2,0:0.01/1:0.99,2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.08/1:0.92,0,2,1,2,2,1,0:0.01/1:0.99,0,0,1,2,0,0:0.01/1:0.99,0,0,0,1,0,0:0.01/1:0.99,0,1,1,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0:0.08/1:0.92,2,2,1,1
216_13,0,0,2,2,1,2,1,2,1,1,0,0,0,1,0,2,1,2,2,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,1,0,1,0,1,2,0,2,0,1,2,0,0,1,1,1,0,2,1,0,1,0,1,0,0,1,2,0,1,1,1,1,2,2,0,1,1,1,1,2,1,0,1,2,1,1,2,2,2,0,0,1,0,2,1,1,2,0,2,2,0,1,1,2,1,0,1,1,1,2,2,1,2,1,1,2,0,2,0,2,0,0,2,2,2,1,0,1,2,2,2,1,0,0,1,1,1,2,1,0,0,2,1,2,2,0,0,0,0,2,0,1,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,1,0,2,1,2,2,1,1,0,0,1,2,0,1,2,0,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,2,1,1,2,2,1,1
209_11,2,0,2,2,1,2,0,2,1,1,0,1,0,1,0,2,1,2,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,1,0,1,0,1,2,0,0,0,1,0,0,0,1,1,1,2,2,1,0,1,0,1,0,0,1,2,0,1,1,1,1,2,2,0,1,1,1,1,2,0,0,1,0,1,1,2,2,2,0,0,1,0,2,1,1,2,0,2,2,0,1,1,2,1,2,1,0,1,2,0,1,2,1,0,2,0,2,0,2,0,2,2,2,2,1,0,1,2,2,2,1,0,0,2,1,1,1,1,0,0,2,1,2,2,0,2,0,0,2,0,1,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,1,0,2,1,2,2,1,1,0,0,1,2,0,1,0,0,0,1,1,1,0,1,1,1,2,1,0,2,2,0,0,0,1,1,2,2,1,1
216_12,2,0,2,2,1,2,0,2,1,1,0,1,0,1,0,2,1,2,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,1,0,1,0,1,2,0,0,0,1,0,0,0,1,1,1,2,2,1,0,1,0,1,0,0,1,2,0,1,1,1,1,2,2,0,1,1,1,1,2,0,0,1,0,1,1,2,2,2,0,0,1,0,2,1,1,2,0,2,2,0,1,1,2,1,2,1,0,1,2,0,1,2,1,0,2,0,2,0,2,0,2,2,2,2,1,0,1,2,2,2,1,0,0,2,1,1,1,1,0,0,2,1,2,2,0,2,0,0,2,0,1,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,1,0,2,1,2,2,1,1,0,0,1,2,2,1,0,0,0,1,1,1,0,1,1,1,2,1,0,2,2,0,0,0,1,1,2,2,1,1
216_11,2,0,2,2,1,2,0,2,1,1,0,1,0,1,0,2,1,2,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,1,0,1,0,1,2,0,0,0,1,0,0,0,1,1,1,2,2,1,0,1,0,1,0,0,1,2,0,1,1,1,1,2,2,0,1,1,1,1,2,0,0,1,0,1,1,2,2,2,0,0,1,0,2,1,1,2,0,2,2,0,1,1,2,1,2,1,0,1,2,0,1,2,1,0,2,0,2,0,2,0,2,2,2,2,1,0,1,2,2,2,1,0,2,2,1,1,1,1,0,0,2,1,2,2,0,2,0,0,2,0,1,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,1,0,2,1,2,2,1,1,0,0,1,2,0,1,0,0,0,1,1,1,0,1,1,1,2,1,0,2,2,0,0,0,1,1,2,2,1,1
164_4,0,0,2,2,1,2,0,0,1,1,0,0,0,1,0:0.04/2:0.96,2,1,2,0:0.04/1:0.96,2,2,0,2,0,2,2,0,2,0:0.04/1:0.96,0,2,2,2,2,1,0,1,0:0.04/2:0.96,1,2,0,0,0,1,0,0,0,0,0,1,0:0.04/2:0.96,2,0,0,1,0,1,0,0,1,2,0,1,0:0.04/2:0.96,1,0,2,2,0,1,1,1,1,2,0,0,0,0,0,1,2,2,2,0,0:0.04/1:0.96,1,0:0.04/1:0.96,2,0,1,0,0,2,2,0,1,1,2,1,0,1,0,0,0,0,0,2,1,0,2,0:0.04/1:0.96,2,0,2,0:0.04/2:0.96,0,2,2,2,1,0,1,2,2,2,1,0:0.04/1:0.96,0,0,1,1,0,1,0,0,2,1,2,2,0,0:0.04/1:0.96,0,0,0,0,0,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,0,0,2,1,2,2,1,1,0:0.04/2:0.96,0:0.04/1:0.96,1,2,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,2,0,0,0:0.04/1:0.96,0,1,0:0.04/2:0.96,2,2,1,1
216_8,0,2,2,2,1,2,0,0,1,1,2,0,0,1,2,2,1,2,1,2,2,0,2,1,2,2,1,2,1,0,2,2,2,2,1,0,1,2,1,2,0,0,0,1,0,2,0,0,0,1,2,2,0,2,1,0,1,0,0,1,2,0,1,2,1,1,2,2,0,1,1,1,1,2,0,0,0,2,0,1,2,2,2,0,1,1,1,2,0,1,2,2,2,2,0,1,1,2,1,0,1,1,0,0,0,0,2,1,0,2,1,2,0,2,2,0,2,2,2,1,0,1,2,2,2,1,1,0,0,1,1,0,1,0,0,2,1,2,2,0,1,0,0,1,0,0,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,0,0,2,1,2,2,1,1,2,1,1,2,0,1,0,0,2,1,0,1,0,1,1,0,0,1,0,2,0,0,1,0,1,2,2,2,1,1
202_8,0,0,2,2,1,2,0,0,1,1,0,0,0,1,2,2,1,2,1,2,2,0,2,0,2,2,0,2,1,0,2,2,2,2,1,0,1,2,1,2,0,0,0,1,0,0,0,0,0,1,2,2,0,0,1,0,1,0:0.01/1:0.99,0,1,2,0,1,2,1,0,2,2,0,1,1,1,1,2,0,0,0:0.01/2:0.99,0,0,1,2,2,2,0,1,1,1,2,0,1,0,0,2,2,0:0.01/1:0.99,1,1,2,1,0,1,0,0,0,0,0:0.01/1:0.99,2,1,0,2,1,2,0,2,2,0,2,2,2,1,0,1,2,2,2,1,1,0,0,1,1,0,1,0,0:0.01/1:0.99,2,1,2,2,0,1,0,0,0,0,0,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,0:0.01/2:0.99,0:0.01/1:0.99,2,1,2,2,1,1,2,1,1,2,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,2,0,0,1,0,1,2,2,2,1,1
216_10,0,0,2,2,1,2,0,0,1,1,0,0,0,1,2,2,1,2,1,2,2,0,2,0,2,2,0,2,1,0,2,2,2,2,1,0,1,2,1,2,0,0,0,1,0,0,0,0,0,1,2,2,0,0,1,0,1,1,0,1,2,0,1,2,1,0,2,2,0,1,1,1,1,2,0,0,2,0,0,1,2,2,2,0,1,1,1,2,0,1,0,0,2,2,1,1,1,2,1,0,1,0,0,0,0,1,2,1,0,2,1,2,0,2,2,0,2,2,2,1,0,1,2,2,2,1,1,0,0,1,1,0,1,0,1,2,1,2,2,0,1,0,0,0,0,0,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,0,1,0,0,2,1,1,1,0,1,1,0,0,1,0,2,0,0,1,0,1,2,2,2,1,1
216_9,0,0,2,2,1,2,0,0,1,1,0,0,0,1,2,2,1,2,1,2,2,0,2,0,2,2,0,2,1,0,2,2,2,2,1,0,1,2,1,2,0,0,0,1,0,0,0,0,1,1,2,2,0,0,1,0,1,1,2,1,2,0,1,2,1,0,2,2,0,1,1,1,1,2,0,0,2,1,0,1,2,2,2,0,1,1,1,2,0,1,0,0,2,2,1,1,1,2,1,0,1,0,0,0,0,1,2,1,0,2,1,2,0,2,2,0,2,2,2,1,0,1,2,2,2,1,1,0,0,1,1,0,1,0,1,2,1,2,2,0,1,0,0,0,0,0,1,2,2,1,1,2,2,0,2,2,0,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,0,1,0,0,0,1,0,1,0,1,1,0,2,1,0,2,0,0,1,0,1,2,2,2,1,1
