cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,2,2,0,0,0,0,0,0,0
I1,0,2,2,0,0,2,1,0,0,0
I2,0,2,2,0,0,2,1,1,0,0
I3,0,2,2,0,2,2,1,1,0,0
216_20,0,2,2,0,2,2,1,1,0,0
216_19,0,2,2,0,2,2,1,1,0,0
I4,0,2,2,0,0,2,1,1,2,2
216_22,0,2,2,0,0,2,1,1,2,2
216_21,0,2,2,0,0,2,1,1,2,2
I5,0,2,2,2,0,2,1,0,1,0
216_15,0,2,2,2,0,2,1,0,1,0
I6,0,2,2,2,0,2,1,0,1,0
216_18,0,2,2,2,0,2,1,0,1,0
216_17,0,2,2,2,0,2,1,0,1,0
I7,0,2,2,0,0,0,0,0,0,0
I8,0,2,2,0,0,0,0,2,0,0
216_13,1,2,2,0,0,2,0,2,0,0
I9,1,2,2,0,0,0,0,2,0,2
216_12,1,2,2,0,0,0,0,2,0,2
216_11,1,2,2,0,0,0,0,2,0,2
I10,0,2,2,0,0,0,0,0,0,0
216_8,0,2,2,2,0,0,0,0,0,0
I11,0,2,2,0,0,0,0,0,0,0
216_10,0,2,2,0,0,0,0,0,0,0
216_9,0,2,2,0,0,0,0,0,0,0
Evolve tree: [&R] ((((216_9:0.0294162965763624,216_10:0.0294162965763624)I11:0.09737366256270652,216_8:0.12678995913906893)I10:0.13748639480384844,((216_11:0.014321081231462463,216_12:0.014321081231462463)I9:0.11246887790760646,216_13:0.12678995913906893)I8:0.13748639480384844)I7:0.1911384555705418,(((216_17:0.02284949311935647,216_18:0.02284949311935647)I6:0.10100547376629121,216_15:0.12385496688564768)I5:0.13645627415168013,((216_21:0.031638362837529375,216_22:0.031638362837529375)I4:0.09221660404811831,(216_19:0.027210879208705078,216_20:0.027210879208705078)I3:0.0966440876769426)I2:0.13645627415168013)I1:0.19510356847613133)I0:0.6143156122731719;
