cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,1,0,2
I1,2,0,2,0,0,0,2,1,0,2
I2,2,0,2,0,0,0,2,1,0,2
216_2,2,0,2,0,1,0,2,1,0,2
216_1,2,2,2,0,1,2,2,1,1,2
I3,2,0,2,0,0,0,2,1,0,2
216_5,2,0,2,0,1,0,2,1,0,2
I4,2,0,2,0,0,0,2,1,0,2
216_4,2,0,2,0,0,2,2,1,0,2
216_3,2,0,2,0,0,2,2,1,0,2
I5,1,1,0,2,1,2,0,1,0,2
216_22,1,1,1,2,1,2,0,1,1,2
I6,1,1,0,2,1,2,0,1,0,2
I7,1,1,0,2,1,2,0,1,0,2
I8,1,1,0,2,1,2,0,1,0,2
216_8,1,1,0,2,1,2,0,1,0,2
216_7,1,1,0,2,1,2,2,1,0,2
I9,1,1,0,2,1,2,1,1,0,2
216_10,1,1,0,2,1,2,1,1,0,2
216_9,1,1,0,2,1,2,1,1,0,2
I10,1,1,0,2,1,2,0,1,0,2
216_11,1,1,0,2,1,2,2,1,2,2
I11,1,1,0,2,1,2,0,1,1,2
216_14,1,1,0,2,1,2,0,1,1,2
216_13,1,1,0,2,1,2,0,1,1,2
Evolve tree: [&R] (((((216_13:0.162,216_14:0.162)I11:0.276,216_11:0.438)I10:0.24,((216_9:0.156,216_10:0.156)I9:0.24,(216_7:0.15,216_8:0.15)I8:0.246)I7:0.28200000000000003)I6:0.276,216_22:0.9540000000000001)I5:0.24,(((216_3:0.306,216_4:0.306)I4:0.318,216_5:0.624)I3:0.264,(216_1:0.27,216_2:0.27)I2:0.618)I1:0.306)I0:0.096;
