	0
104_5	104
114_7	114
116_9	116
120_11	120
123_2	123
125_1	125
12_2	12
152_7	152
156_9	156
160_12	160
164_19	164
168_4	168
170_20	170
172_3	172
175_1	175
199_9	199
202_13	202
203_21	203
204_15	204
205_21	205
207_31	207
208_28	208
208_30	208
211_34	211
211_37	211
212_7	212
213_5	213
213_6	213
214_12	214
216_1	216
216_10	216
216_11	216
216_12	216
216_13	216
216_14	216
216_15	216
216_16	216
216_18	216
216_19	216
216_20	216
216_21	216
216_22	216
216_26	216
216_27	216
216_29	216
216_3	216
216_30	216
216_31	216
216_32	216
216_35	216
216_36	216
216_39	216
216_40	216
216_41	216
216_42	216
216_43	216
216_44	216
216_45	216
216_46	216
216_6	216
216_7	216
216_8	216
216_9	216
52_3	52
59_5	59
69_1	69
virtual	1
