cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,2,1,1,2,2,1,1,0,2,1
216_2,2,1,1,2,2,1,1,0,2,1
216_3,2,1,1,2,2,1,1,0,2,1
216_4,2,1,1,2,2,1,1,0,2,1
216_5,2,1,1,2,2,1,1,0,2,1
216_6,2,1,1,2,2,1,1,0,2,1
216_7,2,1,1,2,2,1,1,0,2,1
216_8,2,1,1,2,2,1,1,0,2,1
216_12,1,1,1,1,1,1,1,1,1,1
216_13,2,1,1,0,2,1,1,1,1,1
216_14,2,1,1,0,2,1,1,1,1,1
216_15,2,1,1,1,2,1,1,1,2,1
216_16,2,1,1,1,2,1,1,1,2,1
216_17,0,0,1,1,0,1,1,2,2,1
216_18,1,1,1,1,0,1,1,2,2,1
216_19,1,1,1,2,0,1,1,2,2,1
216_20,1,1,1,2,0,1,1,2,2,1
216_21,1,1,1,0,1,1,1,1,2,1
216_22,2,1,0,0,2,1,1,2,2,1
216_23,2,1,1,2,2,1,0,0,2,1
