sample size dtype nodeName trueTime dvalue
s10c3 39 brlen 186_12 46.0 1.1717469546144916
s10c3 39 brlen 187_9 51.0 1.0774846434274794
s10c3 39 brlen 196_2 44.0 0.005000000000020741
s10c3 39 brlen 197_1 45.0 0.005000000000027033
s10c3 39 brlen 208_5 51.0 0.0050000000000226695
s10c3 39 brlen 209_20 69.0 0.01943297469694272
s10c3 39 brlen 211_7 54.0 0.005000000000014414
s10c3 39 brlen 216_1 19.0 0.005000000000002684
s10c3 39 brlen 216_12 139.0 1.5956325613683435
s10c3 39 brlen 216_13 31.0 0.0050000000000041634
s10c3 39 brlen 216_14 31.0 0.0050000000000041634
s10c3 39 brlen 216_15 29.0 0.005000000000004604
s10c3 39 brlen 216_16 29.0 0.005000000000004604
s10c3 39 brlen 216_17 34.0 0.6266822249112085
s10c3 39 brlen 216_18 34.0 0.6266822249112085
s10c3 39 brlen 216_19 30.0 0.005000000000003469
s10c3 39 brlen 216_2 19.0 0.005000000000002684
s10c3 39 brlen 216_20 30.0 0.005000000000003469
s10c3 39 brlen 216_21 7.0 1.5812694932598275
s10c3 39 brlen 216_22 7.0 1.5812694932598275
s10c3 39 brlen 216_23 76.0 1.6007024679567703
s10c3 39 brlen 216_3 20.0 0.005000000000008976
s10c3 39 brlen 216_4 20.0 0.005000000000008976
s10c3 39 brlen 216_5 8.0 0.005000000000003064
s10c3 39 brlen 216_6 8.0 0.005000000000003064
s10c3 39 brlen 216_7 5.0 0.005000000000011319
s10c3 39 brlen 216_8 5.0 0.005000000000011319
s10c3 39 brlen 34_1 33.0 0.3070849714964907
s10c3 39 brlen 77_2 43.0 0.05657011645704017
s10c3 39 brlen 85_1 51.0 1.6372026778253468
s10c3 39 brlen 91_5 90.0 0.19056327017265332
s10c3 39 brlen virtual 0 0.2027486931220085
s10c3 39 nMus 136_4 59.0 2.537
s10c3 39 nMus 140_7 49.0 2.758
s10c3 39 nMus 140_8 49.0 0.775
s10c3 39 nMus 152_1 67.0 0
s10c3 39 nMus 157_3 72.0 0
s10c3 39 nMus 182_9 42.0 1.37
s10c3 39 nMus 185_7 49.0 1.823
s10c3 39 nMus 186_12 46.0 3.572
s10c3 39 nMus 187_9 51.0 2.823
s10c3 39 nMus 196_2 44.0 0
s10c3 39 nMus 197_1 45.0 0
s10c3 39 nMus 208_5 51.0 0
s10c3 39 nMus 209_20 69.0 0.091
s10c3 39 nMus 211_7 54.0 0
s10c3 39 nMus 216_1 19.0 0
s10c3 39 nMus 216_12 139.0 5.36
s10c3 39 nMus 216_13 31.0 0
s10c3 39 nMus 216_14 31.0 0
s10c3 39 nMus 216_15 29.0 0
s10c3 39 nMus 216_16 29.0 0
s10c3 39 nMus 216_17 34.0 0.203
s10c3 39 nMus 216_18 34.0 2.203
s10c3 39 nMus 216_19 30.0 0
s10c3 39 nMus 216_2 19.0 0
s10c3 39 nMus 216_20 30.0 0
s10c3 39 nMus 216_21 7.0 5.464
s10c3 39 nMus 216_22 7.0 4.464
s10c3 39 nMus 216_23 76.0 4.556
s10c3 39 nMus 216_3 20.0 0
s10c3 39 nMus 216_4 20.0 0
s10c3 39 nMus 216_5 8.0 0
s10c3 39 nMus 216_6 8.0 0
s10c3 39 nMus 216_7 5.0 0
s10c3 39 nMus 216_8 5.0 0
s10c3 39 nMus 34_1 33.0 2.566
s10c3 39 nMus 77_2 43.0 0.374
s10c3 39 nMus 85_1 51.0 4.734
s10c3 39 nMus 91_5 90.0 0.969
s10c3 39 nMus virtual 0 1.701
s10c4 19 brlen 124_2 67.0 0.5566389766141977
s10c4 19 brlen 126_1 69.0 0.11337152383074209
s10c4 19 brlen 171_2 45.0 1.4360572874430269
s10c4 19 brlen 173_4 49.0 0.3236023953260421
s10c4 19 brlen 176_1 50.0 0.8607516698764412
s10c4 19 brlen 176_6 52.0 0.6131069570753227
s10c4 19 brlen 211_5 38.0 0.6691874393335295
s10c4 19 brlen 211_6 38.0 0.6691874393335282
s10c4 19 brlen 216_1 40.0 0.5803056175665875
s10c4 19 brlen 216_10 40.0 0.38468287758425057
s10c4 19 brlen 216_2 40.0 0.5803056175665875
s10c4 19 brlen 216_3 45.0 0.00500000000000215
s10c4 19 brlen 216_4 45.0 0.00500000000000215
s10c4 19 brlen 216_5 5.0 0.005000000000001732
s10c4 19 brlen 216_6 5.0 0.005000000000001732
s10c4 19 brlen 216_7 5.0 0.005000000000003057
s10c4 19 brlen 216_8 5.0 0.005000000000003057
s10c4 19 brlen 216_9 40.0 0.38468287758425057
s10c4 19 brlen 57_1 56.0 0.3187453379815799
s10c4 19 nMus 124_2 67.0 4.027
s10c4 19 nMus 126_1 69.0 0.508
s10c4 19 nMus 171_2 45.0 2.996
s10c4 19 nMus 173_4 49.0 1.126
s10c4 19 nMus 176_1 50.0 4.665
s10c4 19 nMus 176_6 52.0 2.336
s10c4 19 nMus 211_5 38.0 1.351
s10c4 19 nMus 211_6 38.0 1.351
s10c4 19 nMus 216_1 40.0 1.331
s10c4 19 nMus 216_10 40.0 1.141
s10c4 19 nMus 216_2 40.0 1.331
