ID cellID type true_x true_y est_x est_y error
s14c5 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s14c5 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
s14c5 137_6 brlen_coestimated 192.0 237.0 170.96095933939907 219.03917604985554 27.6628
s14c5 180_1 brlen_coestimated 142.0 285.0 139.35706472348883 279.8893481125576 5.7536
s14c5 185_3 brlen_coestimated 152.0 289.0 139.75096975282264 279.79119032173344 15.3245
s14c5 192_7 brlen_coestimated 122.0 244.0 123.15149767066639 245.51496241136596 1.90291
s14c5 193_10 brlen_coestimated 215.0 228.0 171.5353086256834 219.1170237574817 44.3631
s14c5 193_9 brlen_coestimated 158.0 254.0 157.4730361364764 252.34000629096712 1.74163
s14c5 198_13 brlen_coestimated 141.0 209.0 170.5318644270118 218.80033382572248 31.1156
s14c5 23_1 brlen_coestimated 165.0 262.0 147.18015747628866 245.71897313111344 24.1375
s14c5 68_2 brlen_coestimated 175.0 260.0 147.2108782488086 245.58098138913215 31.3072
s14c6 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s14c6 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
s14c6 137_6 brlen_coestimated 192.0 237.0 170.96095933939907 219.03917604985554 27.6628
s14c6 180_1 brlen_coestimated 142.0 285.0 139.35706472348883 279.8893481125576 5.7536
s14c6 185_3 brlen_coestimated 152.0 289.0 139.75096975282264 279.79119032173344 15.3245
s14c6 192_7 brlen_coestimated 122.0 244.0 123.15149767066639 245.51496241136596 1.90291
s14c6 193_10 brlen_coestimated 215.0 228.0 171.5353086256834 219.1170237574817 44.3631
s14c6 193_9 brlen_coestimated 158.0 254.0 157.4730361364764 252.34000629096712 1.74163
s14c6 198_13 brlen_coestimated 141.0 209.0 170.5318644270118 218.80033382572248 31.1156
s14c6 23_1 brlen_coestimated 165.0 262.0 147.18015747628866 245.71897313111344 24.1375
s14c6 68_2 brlen_coestimated 175.0 260.0 147.2108782488086 245.58098138913215 31.3072
s15c1 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s15c1 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
s15c1 137_6 brlen_coestimated 192.0 237.0 170.96095933939907 219.03917604985554 27.6628
s15c1 180_1 brlen_coestimated 142.0 285.0 139.35706472348883 279.8893481125576 5.7536
s15c1 185_3 brlen_coestimated 152.0 289.0 139.75096975282264 279.79119032173344 15.3245
s15c1 192_7 brlen_coestimated 122.0 244.0 123.15149767066639 245.51496241136596 1.90291
s15c1 193_10 brlen_coestimated 215.0 228.0 171.5353086256834 219.1170237574817 44.3631
s15c1 193_9 brlen_coestimated 158.0 254.0 157.4730361364764 252.34000629096712 1.74163
s15c1 198_13 brlen_coestimated 141.0 209.0 170.5318644270118 218.80033382572248 31.1156
s15c1 23_1 brlen_coestimated 165.0 262.0 147.18015747628866 245.71897313111344 24.1375
s15c1 68_2 brlen_coestimated 175.0 260.0 147.2108782488086 245.58098138913215 31.3072
s15c2 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s15c2 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
s15c2 137_6 brlen_coestimated 192.0 237.0 170.96095933939907 219.03917604985554 27.6628
s15c2 180_1 brlen_coestimated 142.0 285.0 139.35706472348883 279.8893481125576 5.7536
s15c2 185_3 brlen_coestimated 152.0 289.0 139.75096975282264 279.79119032173344 15.3245
s15c2 192_7 brlen_coestimated 122.0 244.0 123.15149767066639 245.51496241136596 1.90291
s15c2 193_10 brlen_coestimated 215.0 228.0 171.5353086256834 219.1170237574817 44.3631
s15c2 193_9 brlen_coestimated 158.0 254.0 157.4730361364764 252.34000629096712 1.74163
s15c2 198_13 brlen_coestimated 141.0 209.0 170.5318644270118 218.80033382572248 31.1156
s15c2 23_1 brlen_coestimated 165.0 262.0 147.18015747628866 245.71897313111344 24.1375
s15c2 68_2 brlen_coestimated 175.0 260.0 147.2108782488086 245.58098138913215 31.3072
s15c3 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s15c3 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
s15c3 137_6 brlen_coestimated 192.0 237.0 170.96095933939907 219.03917604985554 27.6628
s15c3 180_1 brlen_coestimated 142.0 285.0 139.35706472348883 279.8893481125576 5.7536
s15c3 185_3 brlen_coestimated 152.0 289.0 139.75096975282264 279.79119032173344 15.3245
s15c3 192_7 brlen_coestimated 122.0 244.0 123.15149767066639 245.51496241136596 1.90291
s15c3 193_10 brlen_coestimated 215.0 228.0 171.5353086256834 219.1170237574817 44.3631
s15c3 193_9 brlen_coestimated 158.0 254.0 157.4730361364764 252.34000629096712 1.74163
s15c3 198_13 brlen_coestimated 141.0 209.0 170.5318644270118 218.80033382572248 31.1156
s15c3 23_1 brlen_coestimated 165.0 262.0 147.18015747628866 245.71897313111344 24.1375
s15c3 68_2 brlen_coestimated 175.0 260.0 147.2108782488086 245.58098138913215 31.3072
s15c4 132_1 brlen_coestimated 151.0 276.0 139.56970389311638 279.7707674383374 12.0362
s15c4 134_4 brlen_coestimated 170.0 256.0 147.09656766037853 245.60541232714053 25.1518
