5_1,155.0,247.0
109_6,158.0,252.0
190_9,143.0,276.0
216_16,150.0,277.0
216_15,133.0,279.0
186_11,180.0,264.0
216_20,173.0,249.0
216_19,189.0,278.0
60_1,158.0,274.0
108_3,169.0,263.0
155_7,181.0,245.0
216_13,188.0,229.0
194_10,189.0,252.0
216_12,195.0,248.0
216_11,195.0,268.0
152_5,161.0,281.0
196_8,149.0,287.0
216_8,144.0,290.0
216_7,137.0,301.0
190_6,161.0,266.0
216_10,152.0,259.0
216_9,164.0,280.0
106_1,146.0,268.0
191_4,126.0,302.0
216_6,116.0,310.0
216_5,128.0,321.0
142_1,142.0,246.0
206_1,117.0,255.0
216_2,131.0,242.0
216_1,103.0,251.0
193_2,149.0,212.0
216_4,137.0,198.0
216_3,128.0,217.0
