cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,0,1,0,2,2,2,1,0,1,1
216_20,0,1,1,2,2,2,1,0,1,1
216_17,2,1,0,2,2,2,1,0,1,1
I2,0,1,0,0,0,0,0,0,0,2
I3,0,1,0,2,2,0,0,0,0,2
I4,0,1,0,2,2,0,0,2,0,2
I5,0,1,2,2,2,0,0,2,0,2
216_2,0,1,2,2,2,0,0,2,0,2
216_1,0,1,2,2,2,0,0,2,0,2
I6,0,1,0,2,2,0,0,2,2,2
216_4,2,1,0,2,2,1,0,2,2,2
216_3,0,1,0,2,2,0,0,2,2,2
I7,0,1,0,2,2,0,2,0,0,2
I8,0,1,0,2,2,0,2,0,0,2
216_8,0,1,0,2,2,0,2,0,1,2
216_7,0,1,0,2,2,0,2,0,0,2
I9,0,1,0,2,2,1,2,0,0,2
216_6,2,1,0,2,2,1,2,0,2,2
216_5,0,1,0,2,2,1,2,0,2,2
I10,1,1,0,0,0,0,2,0,0,2
I11,1,1,0,0,0,1,2,0,0,2
I12,1,1,0,0,0,1,2,2,1,2
216_10,1,1,0,0,0,1,2,2,1,2
216_9,1,1,0,1,2,1,2,2,1,2
I13,1,1,0,0,0,1,2,2,0,2
216_12,1,1,0,0,0,1,2,2,0,2
216_11,1,1,0,0,0,1,2,2,0,2
I14,1,1,0,2,2,1,2,0,0,2
I15,1,1,1,2,2,1,2,1,0,2
216_16,1,1,1,2,2,1,2,1,1,2
216_15,1,1,1,2,2,1,2,1,0,2
I16,1,1,1,2,2,1,2,0,0,2
216_14,1,1,1,2,2,1,2,0,0,2
216_13,1,1,1,2,2,1,2,1,0,2
Evolve tree: [&R] (((((216_13:32,216_14:32)I16:40,(216_15:29,216_16:29)I15:43)I14:39,((216_11:23,216_12:23)I13:37,(216_9:17,216_10:17)I12:43)I11:51)I10:45,(((216_5:30,216_6:30)I9:36,(216_7:27,216_8:27)I8:39)I7:44,((216_3:20,216_4:20)I6:38,(216_1:19,216_2:19)I5:39)I4:52)I3:46)I2:56,(216_17:95,216_20:95)I1:117)I0:3;
