pos_1,pos_2,progenitor,descendants
338,443,1,1
313,435,2,2
328,419,3,3
348,427,4,4
364,422,4,5
350,408,5,6
333,406,6,7
265,380,7,8
283,374,8,9
260,368,9,10
296,373,10,11
308,372,11,12
312,362,12,13
326,364,12,14
268,487,13,15
299,487,14,16
243,456,15,17
273,441,16,18
194,401,17,19
224,400,18,20
259,419,19,21
240,403,20,22
286,433,21,23
274,424,22,24
267,404,23,25
249,384,24,26
246,357,25,27
281,354,26,28
264,337,27,29
284,315,28,30
303,424,29,31
282,398,30,32
309,403,31,33
334,397,32,34
298,409,33,35
299,387,34,36
318,394,35,37
329,374,36,38
296,362,37,39
287,343,38,40
329,350,39,41
314,333,40,42
295,325,41,43
304,298,42,44
317,295,43,45
317,280,44,46
