pos_1,pos_2,progenitor,descendants_1,descendants_2
338,443,1,1,
314,435,2,2,
330,419,3,3,
357,425,4,4,5
346,408,5,6,
334,407,5,7,
267,378,6,8,
281,374,6,9,
260,368,7,10,
296,373,8,11,
308,372,9,12,
322,362,10,13,14
275,485,11,15,
297,484,12,16,
243,456,13,17,
273,441,14,18,
194,401,15,19,
224,400,16,20,
257,419,17,21,
240,403,18,22,
286,433,19,23,
274,424,20,24,
267,404,21,25,
249,384,22,26,
246,357,23,27,
279,355,24,28,
264,336,25,29,
283,315,26,30,
303,424,27,31,
282,398,28,32,
307,403,29,33,
334,397,30,34,
299,409,31,35,
294,384,32,36,
318,394,33,37,
329,374,34,38,
296,362,35,39,
285,345,36,40,
326,347,37,41,
314,333,38,42,
294,325,39,43,
305,300,40,44,
316,298,41,45,
317,280,42,46,
