pos_1,pos_2,progenitor,descendants
338,443,1,1
318,427,2,2
352,420,3,3
339,409,4,4
274,377,5,5
259,364,6,6
298,372,7,7
325,363,8,8
272,479,9,9
300,479,10,10
246,449,11,11
273,440,12,12
193,395,13,13
222,400,14,14
252,422,15,15
241,399,16,16
287,430,17,17
279,424,17,18
268,402,18,19
255,385,19,20
248,354,20,21
278,356,21,22
261,333,22,23
284,316,23,24
303,422,24,25
284,399,25,26
307,399,26,27
331,398,27,28
299,397,28,29
293,382,29,30
328,383,30,31
297,359,31,32
285,346,32,33
324,340,33,34
297,328,34,35
311,302,35,36
320,288,36,37
