pos_1,pos_2,progenitor,descendants_1,descendants_2
336,445,1,1,
322,428,2,2,
350,420,3,3,
339,403,4,4,
280,374,5,5,
263,368,6,6,
302,374,7,7,
322,364,8,8,
271,479,9,9,
299,482,10,10,
248,455,11,11,
277,442,12,12,
191,387,13,13,
224,395,14,14,
251,412,15,15,
243,396,15,16,
286,428,16,17,
270,393,17,18,
251,355,18,19,
281,356,19,20,
275,327,20,21,22
302,421,21,23,
287,406,22,24,
311,400,23,25,
328,394,24,26,
293,383,25,27,
324,381,26,28,
288,352,27,29,
325,343,28,30,
302,315,29,31,
313,292,30,32,
