pos_1,pos_2,progenitor,descendants_1,descendants_2
338,443,1,1,
318,427,2,2,
352,420,3,3,
338,409,4,4,
276,377,5,5,
259,364,6,6,
298,372,7,7,
325,363,8,8,
272,479,9,9,
300,479,10,10,
246,449,11,11,
273,440,12,12,
193,394,13,13,
222,398,14,14,
252,422,15,15,
239,397,16,16,
286,425,17,17,18
268,402,18,19,
255,385,19,20,
248,354,20,21,
278,356,21,22,
261,333,22,23,
284,320,23,24,
303,422,24,25,
284,399,25,26,
307,399,26,27,
331,398,27,28,
298,395,28,29,
293,384,28,30,
324,381,29,31,
295,356,30,32,
288,350,30,33,
325,342,31,34,
299,325,32,35,
311,305,33,36,
318,289,34,37,
