pos_1,pos_2,progenitor,descendants_1,descendants_2
338,443,1,1,
319,426,2,2,3
352,420,3,4,
344,407,4,5,
274,375,5,6,
258,367,6,7,
299,370,7,8,9
325,362,8,10,
275,485,9,11,
297,484,10,12,
246,449,11,13,
272,437,12,14,
194,398,13,15,
222,401,14,16,
253,420,15,17,
241,399,16,18,
288,433,17,19,
276,422,18,20,
268,402,19,21,
249,381,20,22,
248,353,21,23,
278,356,22,24,
264,333,23,25,
283,315,24,26,
303,422,25,27,
282,398,26,28,
306,399,27,29,
334,398,28,30,
294,404,29,31,
295,380,30,32,
322,391,31,33,
329,375,31,34,
295,359,32,35,
285,345,33,36,
326,345,34,37,
315,336,34,38,
294,328,35,39,
307,297,36,40,
317,300,37,41,
322,284,37,42,
