pos_1,pos_2,progenitor,descendants_1,descendants_2
338,443,1,1,
316,434,2,2,
328,422,2,3,
354,420,3,4,
344,406,4,5,6
274,375,5,7,8
258,367,6,9,
296,373,7,10,
308,367,7,11,
322,362,8,12,
275,485,9,13,
297,484,10,14,
245,452,11,15,
272,437,12,16,
194,400,13,17,
224,400,14,18,
254,420,15,19,
241,399,16,20,
288,433,17,21,
274,422,18,22,
268,402,19,23,
249,384,20,24,
246,357,21,25,
278,355,22,26,
264,333,23,27,
283,315,24,28,
303,424,25,29,
282,398,26,30,
306,400,27,31,
334,398,28,32,
294,406,29,33,
299,384,30,34,
318,394,31,35,
329,375,32,36,
295,359,33,37,
285,345,34,38,
326,347,35,39,
313,328,36,40,
294,328,37,41,
306,299,38,42,
317,300,39,43,
319,281,40,44,
