pos_1,pos_2,progenitor,descendants_1,descendants_2
338,443,1,1,
319,426,2,2,
352,420,3,3,
343,408,4,4,
274,377,5,5,
259,367,6,6,
299,370,7,7,
325,363,8,8,
275,483,9,9,
300,479,10,10,
246,449,11,11,
272,437,12,12,
194,396,13,13,
222,401,14,14,
253,420,15,15,
241,399,16,16,
288,433,17,17,
277,422,18,18,
268,402,19,19,
250,381,20,20,
248,353,21,21,
278,356,22,22,
263,330,23,23,
283,315,24,24,
303,422,25,25,
284,399,26,26,
307,399,27,27,
334,398,28,28,
298,400,29,29,
293,380,30,30,
328,383,31,31,32
295,359,32,33,
285,346,33,34,
322,339,34,35,36
297,328,35,37,
311,302,36,38,
319,292,37,39,40
