pos_1,pos_2,progenitor,descendants_1,descendants_2
336,445,1,1,
322,428,2,2,
350,422,3,3,
338,408,4,4,
276,377,5,5,
260,364,6,6,
300,372,7,7,
323,363,8,8,
272,479,9,9,
299,480,10,10,
246,449,11,11,
276,442,12,12,
193,394,13,13,
222,396,14,14,
252,422,15,15,
239,394,16,16,
286,425,17,17,
269,398,18,18,
264,385,18,19,
248,355,19,20,
276,357,20,21,
267,334,21,22,
283,322,22,23,
303,424,23,24,
287,400,24,25,
307,399,25,26,
330,394,26,27,
295,387,27,28,29
324,381,28,30,
290,351,29,31,32
325,342,30,33,
299,325,31,34,
308,307,31,35,
314,290,32,36,
