cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,1,1,1,1,0,0,1,0,1,1
216_2,1,1,1,1,1,0,1,0,0,1
216_3,2,1,1,1,1,0,1,2,2,1
216_4,2,1,1,2,1,1,1,2,0,1
216_5,1,1,0,1,0,0,1,2,2,1
216_6,1,1,1,1,0,0,1,0,0,1
216_7,2,1,1,1,1,0,1,2,2,1
216_8,2,1,1,1,1,0,1,2,0,1
216_9,2,2,2,2,1,1,2,1,0,1
216_10,2,2,2,2,1,1,2,1,0,1
216_11,2,2,1,2,1,1,0,0,0,0
216_12,2,2,0,2,1,1,0,0,0,0
216_13,2,1,1,0,1,0,1,0,0,1
216_14,0,1,1,0,2,0,1,0,0,1
216_15,0,1,1,0,2,0,1,0,0,1
216_16,2,1,0,0,1,0,1,0,0,0
216_17,1,1,1,1,0,0,1,0,0,1
216_18,2,1,1,2,1,1,1,0,0,0
216_19,2,1,0,0,1,0,1,0,0,0
