cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,2,2,1,1,0,0,0
I2,1,0,0,2,2,1,1,0,0,0
216_15,1,0,0,2,2,1,1,0,0,0
216_14,1,0,0,2,2,1,1,0,0,0
I3,0,2,0,2,2,1,1,0,0,0
216_13,0,2,2,2,2,1,1,0,0,0
216_12,0,2,0,2,2,1,1,0,0,0
I4,0,0,0,2,0,0,0,0,0,2
I5,0,0,0,2,0,0,0,0,0,2
216_1,0,0,0,2,0,0,0,0,1,2
I6,0,0,0,2,2,0,0,0,0,2
216_3,0,0,0,2,2,0,0,0,0,2
216_2,0,0,0,2,2,0,0,0,0,2
I7,1,0,0,2,0,0,0,2,0,2
I8,1,0,0,2,0,0,0,2,1,2
216_5,1,0,0,2,0,0,0,2,1,2
216_4,1,0,0,2,0,0,0,2,1,2
I9,1,0,0,2,0,0,0,2,0,2
216_7,1,0,0,2,0,0,0,2,0,2
216_6,1,0,0,2,0,0,0,2,0,2
Evolve tree: [&R] ((((216_6:0.02284949311935647,216_7:0.02284949311935647)I9:0.12202160500376896,(216_4:0.004015098179377865,216_5:0.004015098179377865)I8:0.14085599994374762)I7:0.18260361166508285,((216_2:0.008091045846733485,216_3:0.008091045846733485)I6:0.1157639210389142,216_1:0.12385496688564768)I5:0.2036197429025606)I4:0.2511848088575501,((216_12:0.02284949311935647,216_13:0.02284949311935647)I3:0.14743464868582734,(216_14:0.01855321780474515,216_15:0.01855321780474515)I2:0.15173092400043867)I1:0.40837537684057457)I0:0.4910709031408726;
