[&R] (((((216_9:0.002,216_10:1.002)212_9:6.219,(216_11:1.002,216_12:0.002)213_11:5.219)167_5:14.908,(216_13:3.178,216_14:7.178)173_7:12.95)118_2:42.394,((216_3:1.006,216_4:1.006)205_2:11.804,(216_1:2.014,216_2:1.014)207_1:12.796)164_1:37.712)60_1:69.478)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60_1,0:0.09/1:0.91,0,0,0,0:0.09/2:0.91,0:0.09/1:0.91,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0,0,0,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0,0,0,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0,0,0,0,0,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0,0,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0:0.09/2:0.91,0,0,0,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0,0,0,0,0,0,0:0.09/1:0.91,0,0,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0,0,0,0,0,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.09/2:0.91,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0,0,0,0,0:0.09/2:0.91,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0,0,0:0.09/2:0.91,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0,0,0:0.09/2:0.91,0,0,0,0,0,0:0.09/1:0.91,0:0.09/2:0.91,0,0,0,0,0,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0:0.09/1:0.91,0:0.09/1:0.91
164_1,1,0:0.02/1:0.98,0:0.02/1:0.98,0,2,1,1,0,0,2,0:0.02/1:0.98,0,0,0,1,1,0,1,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,1,0,1,0:0.02/2:0.98,1,1,1,0:0.02/1:0.98,0,2,0,0:0.02/2:0.98,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,0,2,0,0:0.02/1:0.98,0:0.02/1:0.98,1,0,1,0:0.02/1:0.98,1,0:0.02/2:0.98,0,0,2,0,0,0,1,0,0:0.02/2:0.98,1,0,0:0.02/1:0.98,0,0,0,0,1,0,0,0,0,0,0:0.02/2:0.98,2,2,2,0:0.02/2:0.98,0,0,0,2,2,2,1,0,0,0,0,0:0.02/2:0.98,0,1,1,0,2,1,0,0:0.02/2:0.98,1,1,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0,2,0,1,0,1,0,0,0,2,2,0,0,2,0,2,0,0,0,2,1,0,1,0:0.02/2:0.98,0,0:0.02/1:0.98,1,0:0.02/1:0.98,1,1,0,2,0,0,0,0,2,1,0,1,0:0.02/1:0.98,0,0,0,0,2,0,0:0.02/2:0.98,0,0,0,1,2,0,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0,2,2,2,0:0.02/1:0.98,0,2,0:0.02/1:0.98,2,0,2,0:0.02/2:0.98,0,1,0,0:0.02/2:0.98,2,1,1
207_1,1,1,1,0,2,1,1,0,1,2,1,0,0,0,1,1,1,1,0,1,1,0,2,0,0,1,0,1,2,1,1,1,1,0,2,0,2,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0,1,1,1,2,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,1,1,2,0,1,1,0,2,1,0,2,1,1,2,0,2,0,0,2,0,1,0,1,0,0,0,2,2,0,1,2,0,2,0,0,0,2,1,0,1,2,2,1,1,1,1,1,0,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,0,2,0,0,1,1,2,0,0,2,0,0,2,0,0,0,2,2,2,1,0,2,1,2,0,2,2,0,1,0,2,2,1,1
216_2,1,1,1,0,2,1,1,0,1,2,1,0,0,0,1,1,1,1,0,1,1,0,2,0,0,1,0,1,2,1,1,1,1,0,2,0,2,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0,1,1,1,2,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,1,1,2,0,1,1,0,2,1,0,2,1,1,2,0,2,0,0,2,0,1,0,1,0,0,0,2,2,0,1,2,0,2,0,0,0,2,1,0,1,2,2,1,1,1,1,1,0,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,0,2,0,0,1,1,2,0,0,2,0,0,2,2,0,0,2,2,2,1,0,2,1,2,0,2,2,0,1,0,2,2,1,1
216_1,1,1,1,0,2,1,1,0,1,2,1,0,0,0,1,1,1,1,0,1,1,0,2,0,0,1,0,1,2,1,1,1,1,0,2,0,2,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0,1,1,1,2,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,1,1,2,0,1,1,0,2,1,1,2,1,1,2,0,2,0,0,2,0,1,0,1,0,0,0,2,2,0,1,2,0,2,0,0,0,2,1,0,1,2,2,1,1,1,1,1,0,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,0,2,0,0,1,1,2,0,0,2,0,0,2,1,0,0,2,2,2,1,0,2,1,2,0,2,2,0,1,0,2,2,1,1
205_2,1,1,1,0,2,1,1,2,0,2,1,0,0,0,1,1,0,1,0,1,1,0,2,2,0,1,2,1,2,1,1,1,1,0,2,1,2,2,1,1,2,1,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,2,1,0,2,0,0,0,1,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,0,0,2,0,1,1,0,2,1,0,2,1,1,2,1,2,0,0,2,0,1,0,1,0,0,0,2,2,0,0,2,0,2,0,0,0,2,1,0,1,2,0,1,1,1,1,1,0,2,2,0,0,0,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,1,2,0,0,2,0,0,2,0,0,0,2,2,2,1,0,2,1,2,0,2,2,1,1,0,2,2,1,1
216_4,1,1,1,0,2,1,1,2,0,2,1,0,0,0,1,1,0,1,0,1,1,0,2,2,0,1,2,1,2,1,1,1,1,0,2,1,2,2,1,1,2,1,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,2,1,0,2,0,0,0,1,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,0,0,2,0,1,1,0,2,1,0,2,1,1,2,1,2,0,0,2,0,1,0,1,0,0,0,2,2,0,0,2,0,2,0,0,0,2,1,2,1,2,0,1,1,1,1,1,0,2,2,0,0,0,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,1,2,0,0,2,0,0,2,0,0,0,2,2,2,1,0,2,1,2,0,2,2,1,1,0,2,2,1,1
216_3,1,1,1,0,2,1,1,2,0,2,1,0,0,0,1,1,0,1,0,1,1,0,2,2,0,1,2,1,2,1,1,1,1,0,2,1,2,2,1,1,2,1,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,2,1,0,2,0,0,0,1,0,2,1,0,1,0,1,0,0,1,0,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2,1,0,0,0,0,2,0,1,1,0,2,1,0,2,1,1,2,1,2,0,0,2,0,1,0,1,0,0,0,2,2,0,0,2,0,2,0,0,0,2,1,0,1,2,0,1,1,1,1,1,0,2,2,0,0,0,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,1,2,0,0,2,0,0,2,0,0,0,2,2,2,1,0,2,1,2,0,2,2,1,1,0,2,2,1,1
118_2,1,0,0,0,2,1,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0:0.03/2:0.97,0,1,0:0.03/1:0.97,1,0,1,1,1,0,0,2,0,0:0.03/1:0.97,2,1,1,2,1,1,2,2,2,2,0,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0,1,0:0.03/2:0.97,0:0.03/1:0.97,2,0,0,0,1,0:0.03/1:0.97,1,0,1,0:0.03/1:0.97,0,0,2,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/1:0.97,1,0,0,1,0,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,1,0:0.03/1:0.97,0,0,0:0.03/1:0.97,0,0,2,2,2,0,0,0:0.03/1:0.97,0,2,2,2,1,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,1,1,0:0.03/2:0.97,2,1,0,0,1,1,0,0,0,0,0,2,0,1,0:0.03/2:0.97,1,0:0.03/1:0.97,0,0,2,2,0,0,2,0,2,0,0,0,2,1,0:0.03/1:0.97,1,0,0:0.03/1:0.97,0:0.03/2:0.97,1,0,1,1,0,2,0,0:0.03/1:0.97,0:0.03/2:0.97,0,2,1,0,1,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0,2,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0:0.03/1:0.97,1,2,0,0:0.03/2:0.97,0,0,0,0,0,0,0:0.03/1:0.97,2,2,2,0,0,2,0,2,0,2,0:0.03/1:0.97,0,1,0:0.03/1:0.97,0,2,1,1
