cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,0,1,2,2,2,1,2,0,2,1
216_2,0,1,2,2,2,1,2,0,2,1
216_3,0,1,2,2,2,1,2,0,2,1
216_4,0,0,2,2,2,1,2,0,2,1
216_5,0,1,2,2,2,1,1,0,2,1
216_6,0,1,2,2,2,1,1,0,2,1
216_7,0,1,2,2,2,1,1,0,1,1
216_8,0,1,2,2,2,1,1,0,1,1
216_9,0,1,1,1,2,1,1,0,2,1
216_10,0,1,1,1,0,0,1,0,0,1
216_12,2,1,1,0,1,1,1,0,0,1
216_13,2,1,1,1,2,1,1,2,2,1
216_14,2,1,1,1,1,1,1,2,2,1
216_15,2,1,1,1,1,1,1,2,2,1
216_16,2,1,1,1,1,1,1,2,2,1
216_17,2,1,1,2,1,1,1,1,1,1
216_18,0,0,1,2,1,1,1,1,1,1
216_23,2,1,1,0,0,0,0,0,0,0
216_24,1,0,1,1,2,1,1,1,0,1
216_25,1,1,1,2,2,1,1,1,0,1
216_26,1,1,1,1,2,1,1,2,2,1
216_27,1,1,1,1,0,1,1,2,2,1
216_28,0,1,1,1,1,1,1,2,2,1
216_29,1,1,1,1,1,1,1,2,2,1
216_31,0,1,0,1,1,1,1,1,2,1
216_33,1,1,1,2,2,1,2,1,2,1
