	0
132_5	132
133_1	133
145_5	145
147_7	147
149_13	149
172_1	172
172_10	172
177_3	177
189_8	189
189_9	189
190_18	190
190_5	190
206_18	206
210_1	210
210_13	210
211_21	211
211_3	211
212_5	212
213_7	213
216_1	216
216_10	216
216_12	216
216_13	216
216_14	216
216_15	216
216_16	216
216_17	216
216_18	216
216_2	216
216_23	216
216_24	216
216_25	216
216_26	216
216_27	216
216_28	216
216_29	216
216_3	216
216_31	216
216_33	216
216_4	216
216_5	216
216_6	216
216_7	216
216_8	216
216_9	216
42_2	42
48_1	48
83_3	83
90_5	90
91_2	91
virtual	1
