	0
116_6	116
117_5	117
126_1	126
130_3	130
131_6	131
140_5	140
155_10	155
156_9	156
158_13	158
163_15	163
163_19	163
170_17	170
174_1	174
177_3	177
180_9	180
185_11	185
185_6	185
187_5	187
188_17	188
191_15	191
191_16	191
191_19	191
191_9	191
192_24	192
196_27	196
197_29	197
197_37	197
198_37	198
199_31	199
205_34	205
211_33	211
216_1	216
216_10	216
216_12	216
216_13	216
216_14	216
216_15	216
216_16	216
216_17	216
216_18	216
216_19	216
216_2	216
216_20	216
216_21	216
216_22	216
216_23	216
216_24	216
216_25	216
216_26	216
216_27	216
216_28	216
216_29	216
216_3	216
216_30	216
216_31	216
216_32	216
216_33	216
216_34	216
216_35	216
216_36	216
216_4	216
216_43	216
216_44	216
216_45	216
216_46	216
216_5	216
216_6	216
216_7	216
216_8	216
216_9	216
23_2	23
27_1	27
67_3	67
74_5	74
75_2	75
76_1	76
virtual	1
