sigma: 22.470982031241125
216_13 228.0 242.0
216_12 235.0 253.0
216_15 289.0 195.0
216_14 307.0 230.0
216_9 193.0 215.0
216_11 224.0 210.0
216_10 212.0 241.0
216_6 243.0 277.0
216_5 246.0 285.0
216_8 252.0 267.0
216_7 235.0 268.0
216_4 223.0 233.0
216_3 210.0 254.0
216_2 205.0 269.0
216_1 224.0 275.0
200_1 216.94183576880042 257.5914413975885
205_3 217.0308264267137 256.32735825262387
151_1 217.05536842629994 256.9226661606373
193_4 243.82841595372955 272.8553156296005
199_3 243.95844293596403 274.6370260712271
152_3 243.87724772499894 273.66942950617556
107_1 238.00014675233214 245.77387732196476
206_10 213.96233660486888 223.8753718395537
162_5 213.78862778411565 223.80544611607203
208_13 284.61282490638746 218.2178652541639
213_12 231.80134401049483 247.19746214926082
162_6 242.74690817779071 236.20327178292982
112_3 242.37878789915405 236.31757592118927
62_1 238.10592297571085 245.54604907845345
