cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_23,0,0,1,1,1,0,2,1,2,2
216_22,0,1,1,1,1,0,0,1,2,2
216_21,0,1,1,1,1,0,0,1,2,2
216_20,0,0,1,1,1,2,0,1,2,2
216_19,0,0,1,1,1,2,0,1,2,2
216_18,0,0,1,1,1,2,0,1,2,2
216_17,0,0,1,1,1,2,0,1,2,2
216_8,1,2,2,1,2,1,1,2,0,0
216_7,1,2,2,1,2,1,1,2,0,0
216_5,1,2,2,1,2,1,1,2,2,0
216_6,1,2,2,1,2,1,1,2,2,0
216_2,1,2,2,1,2,1,1,2,0,0
216_1,1,2,2,1,2,1,1,2,0,1
216_4,1,2,2,1,2,1,1,2,2,0
216_3,1,2,2,1,2,1,1,2,2,0
216_12,1,2,2,1,2,2,1,1,0,0
216_16,1,0,2,1,2,1,1,0,0,0
216_15,1,0,2,1,2,1,1,0,0,0
216_14,1,0,2,1,2,1,1,0,0,0
216_13,1,0,2,1,2,1,1,0,0,0
