[&R] ((((216_9:0,216_10:2)206_9:0,216_12:0)102_2:0.02,(((216_5:1.03,216_6:0.03)193_3:1.015,(216_7:0,216_8:0)198_7:0.044)154_3:0.973,(216_1:0,216_2:0)197_1:4.017)104_1:0.003)47_1:3.98)I0;
I0,0,0,0,0,0,0,0,0,0,0
47_1,2,1,0,0,1,0,1,0,0,0
104_1,2,1,0,0,1,0,1,0,0,0
197_1,2,1,2,0,1,0,1,1,2,1
216_2,2,1,2,0,1,0,1,1,2,1
216_1,2,1,2,0,1,0,1,1,2,1
154_3,2,1,0,0,1,0,1,0:0.04/2:0.96,0,0
198_7,2,1,0,0,1,0,1,2,0,0
216_8,2,1,0,0,1,0,1,2,0,0
216_7,2,1,0,0,1,0,1,2,0,0
193_3,2,1,0,0,1,0,1,2,0:0.03/1:0.97,0
216_6,2,1,0,0,1,0,1,2,1,0
216_5,2,1,1,0,1,0,1,2,1,0
102_2,2,1,0,0,1,0,1,0,0,0
216_12,2,1,0,0,1,0,1,0,0,0
206_9,2,1,0,0,1,0,1,0,0,0
216_10,2,1,0,2,1,1,1,0,0,0
216_9,2,1,0,0,1,0,1,0,0,0
