method error
problin 0
problin 0.004999997894506625
problin 0.09707487059124768
problin 0.6474287732199346
problin 0.23834531094471345
problin 0.08872208650482995
problin 0.08872208650482995
problin 0.0050008309731726965
problin 0.3220665664763707
problin 0.3220665664763707
problin 0.4087085340694342
problin 0.15495812523456054
problin 0.4108295113654832
problin 0.4108295113654832
problin 0.4249832495215771
problin 0.1408043870784666
problin 0.1408043870784666
problin 0.18593588285021045
problin 0.8806351583031716
problin 0.005000000107343531
problin 0.005000000107343531
problin 0.005000038226927498
problin 0.8806351201835877
problin 0.8806351201835877
problin 0.004999998111911777
problin 0.004999998230182912
problin 0.816914005303899
problin 0.12043040603331283
problin 0.004999999149696076
problin 0.004999999149696076
problin 0.12043040736633354
problin 0.004999997816675376
problin 0.004999997816675376
problin 0.48496809027885185
problin 0.304586963191092
problin 0.152789357016964
problin 0.152789357016964
problin 0.32642099064289865
problin 0.13095532956515735
problin 0.13095532956515735
problin 0.10082794428579459
problin 0.7110693160572379
problin 0.13544714837405825
problin 0.13544714837405825
problin 0.45662252979566886
problin 0.3898939346356273
problin 0.3898939346356273
problin 0.004999998448879412
problin 0.4358797990141448
problin 0.35455496124783115
problin 0.28807015099715655
problin 0.1893839905879677
problin 0.1893839905879677
problin 0.1559692533431525
problin 0.32148488824197174
problin 0.32148488824197174
problin 0.005000004149747667
problin 0.5122070994608918
problin 0.31480199922231594
problin 0.31480199922231594
problin 0.27686670332290897
problin 0.5501423953602987
problin 0.5501423953602987
problin 0.10141766725722462
problin 1.1614712345151936
problin 0.005000000074681961
problin 0.005000000074681961
problin 0.6416324959722695
problin 0.5248387386176061
problin 0.5248387386176061
problin 0.004999998276125117
problin 0.11583089513598412
problin 0.7498301209196317
problin 0.004999999908426542
problin 0.004999998619662683
problin 0.004999998619662683
problin 0.004999999908426542
problin 0.004999998619662683
problin 0.004999998619662683
problin 0.2844316409956396
problin 0.33659198500350707
problin 0.13880649344857435
problin 0.13880649344857435
problin 0.25303687642707307
problin 0.22236160202500832
problin 0.22236160202500832
problin 0.029395509536082456
problin 0.7231956120421317
problin 0.12306989300549095
problin 0.12306989300549095
problin 0.3597240969256623
problin 0.4865414081219603
problin 0.4865414081219603
problin 0.004999999363511031
problin 0.25252478256086275
problin 0.1202645980485324
problin 0.6996975075944749
problin 0.004999999851430657
problin 0.004999999851430657
problin 0.4012585831352694
problin 0.30343892431063624
problin 0.30343892431063624
problin 0.19832084406707254
problin 0.14246849192135613
problin 0.48417276950600935
problin 0.48417276950600935
problin 0.3080163624115471
problin 0.31862489901581836
problin 0.31862489901581836
problin 0.09822261156558096
problin 0.5572111272944765
problin 0.42205314919524334
problin 0.42205314919524334
problin 0.0050000006073886265
problin 0.9742642758823312
problin 0.9742642758823312
problin 0.0743271980975799
