sample,cellID,trueBrlen,method,estBrlen
s20c6/k10_r2,b'16_13',0.24,spalin,0.2587955793232646
s20c6/k10_r2,b'16_13',0.24,problin,0.13544714837405825
s20c6/k10_r2,b'16_12',0.24,spalin,0.2587955793232646
s20c6/k10_r2,b'16_12',0.24,problin,0.13544714837405825
s20c6/k10_r2,b'9_4',0.258,spalin,0.4780996024667164
s20c6/k10_r2,b'9_4',0.258,problin,0.45662252979566886
s20c6/k10_r2,b'16_16',0.762,spalin,0.4126470258279333
s20c6/k10_r2,b'16_16',0.762,problin,0.3898939346356273
s20c6/k10_r2,b'16_19',0.762,spalin,0.4126470258279333
s20c6/k10_r2,b'16_19',0.762,problin,0.3898939346356273
s20c6/k10_r3,b'_1',0.0,spalin,0.005
s20c6/k10_r3,b'_1',0.0,problin,0.004999998448879412
s20c6/k10_r3,b'7_1',0.276,spalin,0.46805857754479
s20c6/k10_r3,b'7_1',0.276,problin,0.4358797990141448
s20c6/k10_r3,b'56_1',0.654,spalin,0.5348368718460034
s20c6/k10_r3,b'56_1',0.654,problin,0.35455496124783115
s20c6/k10_r3,b'10_3',0.324,spalin,0.22224198630946435
s20c6/k10_r3,b'10_3',0.324,problin,0.28807015099715655
s20c6/k10_r3,b'16_4',0.036000000000000004,spalin,0.12956208268252842
s20c6/k10_r3,b'16_4',0.036000000000000004,problin,0.1893839905879677
s20c6/k10_r3,b'16_3',0.036000000000000004,spalin,0.12956208268252842
s20c6/k10_r3,b'16_3',0.036000000000000004,problin,0.1893839905879677
s20c6/k10_r3,b'01_1',0.27,spalin,0.15573681350354684
s20c6/k10_r3,b'01_1',0.27,problin,0.1559692533431525
s20c6/k10_r3,b'16_2',0.09,spalin,0.1960672554884459
s20c6/k10_r3,b'16_2',0.09,problin,0.32148488824197174
s20c6/k10_r3,b'16_1',0.09,spalin,0.1960672554884459
s20c6/k10_r3,b'16_1',0.09,problin,0.32148488824197174
s20c6/k10_r3,b'04_3',0.342,spalin,0.19720005663544588
s20c6/k10_r3,b'04_3',0.342,problin,0.005000004149747667
s20c6/k10_r3,b'66_5',0.372,spalin,0.49310969744619865
s20c6/k10_r3,b'66_5',0.372,problin,0.5122070994608918
s20c6/k10_r3,b'16_9',0.3,spalin,0.19633118675635158
s20c6/k10_r3,b'16_9',0.3,problin,0.31480199922231594
s20c6/k10_r3,b'16_8',0.3,spalin,0.19633118675635158
s20c6/k10_r3,b'16_8',0.3,problin,0.31480199922231594
s20c6/k10_r3,b'57_6',0.318,spalin,0.27320254185756654
s20c6/k10_r3,b'57_6',0.318,problin,0.27686670332290897
s20c6/k10_r3,b'16_11',0.354,spalin,0.4162383423449837
s20c6/k10_r3,b'16_11',0.354,problin,0.5501423953602987
s20c6/k10_r3,b'16_10',0.354,spalin,0.4162383423449837
s20c6/k10_r3,b'16_10',0.354,problin,0.5501423953602987
s20c6/k10_r3,b'6_2',0.27,spalin,0.06565372907925478
s20c6/k10_r3,b'6_2',0.27,problin,0.10141766725722462
s20c6/k10_r3,b'76_10',0.78,spalin,0.9714440230750337
