cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,1,1,1,1,1,0,1,0,1,1
216_2,1,1,1,1,1,1,1,1,1,1
216_3,1,1,1,1,1,1,1,2,1,1
216_4,1,1,1,1,1,1,1,2,1,1
216_6,1,1,1,1,1,1,1,1,2,1
216_7,2,1,1,1,1,1,1,1,1,1
216_8,1,1,1,1,1,1,1,1,1,1
216_9,1,1,1,1,1,1,1,1,1,1
216_10,1,1,1,1,1,1,1,1,1,1
216_12,1,1,1,1,1,1,1,1,0,1
216_14,1,1,1,1,1,1,1,1,1,1
216_16,1,1,1,1,1,1,1,1,1,1
216_17,1,1,1,1,1,1,0,1,1,1
216_18,1,1,1,1,1,1,1,1,1,1
216_19,1,1,1,1,1,1,1,1,1,1
216_20,1,1,1,1,1,1,1,1,1,1
216_21,1,1,1,1,1,1,1,1,1,1
216_22,1,1,1,1,1,1,1,1,1,1
216_23,1,1,1,1,1,1,1,1,1,1
216_24,1,1,1,1,1,1,1,1,1,1
216_25,1,1,1,1,1,1,1,1,1,1
216_28,1,1,1,1,1,1,1,1,1,1
