cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,0,0,0,0,2,0,0
I2,0,1,0,0,0,0,2,2,0,1
I3,2,1,0,2,0,2,2,2,0,1
216_8,2,1,0,2,0,2,2,2,0,1
I4,2,1,1,2,0,2,2,2,0,1
216_6,2,1,1,2,0,2,2,2,0,1
216_5,2,1,1,2,0,2,2,2,0,1
I5,0,1,0,0,0,0,2,2,2,1
I6,2,1,2,0,0,0,2,2,2,1
216_4,2,1,2,0,1,0,2,2,2,1
216_3,2,1,2,0,0,2,2,2,2,1
I7,0,1,0,0,0,0,2,2,2,1
216_2,0,1,0,0,2,0,2,2,2,1
216_1,0,1,0,0,0,0,2,2,2,1
I8,0,0,2,0,0,0,0,2,0,1
I9,2,1,2,0,1,0,0,2,1,1
I10,2,1,2,0,1,1,0,2,1,1
216_12,2,1,2,0,1,1,0,2,1,1
216_11,2,1,2,0,1,1,0,2,1,1
I11,2,1,2,0,1,0,0,2,1,1
216_14,2,1,2,0,1,0,0,2,1,1
216_13,2,1,2,0,1,0,0,2,1,1
I12,0,0,2,0,0,0,0,2,0,1
216_15,0,0,2,0,2,0,0,2,0,1
I13,2,0,2,0,1,0,0,2,0,1
216_18,2,0,2,2,1,0,0,2,0,1
216_17,2,0,2,0,1,1,0,2,0,1
I14,0,0,0,0,0,0,2,0,2,0
I15,1,1,2,0,1,0,2,0,2,1
I16,1,1,2,2,1,0,2,2,2,1
216_28,1,1,2,2,1,0,2,2,2,1
216_27,1,1,2,2,1,1,2,2,2,1
I17,1,1,2,0,1,0,2,1,2,1
216_30,1,1,2,1,1,0,2,1,2,1
216_29,1,1,2,0,1,0,2,1,2,1
I18,0,0,0,0,0,0,2,0,2,0
I19,0,0,0,2,1,0,2,1,2,2
I20,1,0,0,2,1,0,2,1,2,2
216_26,1,0,0,2,1,0,2,1,2,2
216_25,1,0,0,2,1,0,2,1,2,2
I21,0,0,0,2,1,0,2,1,2,2
216_24,0,0,0,2,1,0,2,1,2,2
216_23,0,0,0,2,1,0,2,1,2,2
I22,2,0,0,1,0,1,2,2,2,0
I23,2,0,1,1,0,1,2,2,2,0
216_22,2,0,1,1,0,1,2,2,2,0
216_21,2,0,1,1,0,1,2,2,2,1
I24,2,0,2,1,0,1,2,2,2,0
216_20,2,0,2,1,0,1,2,2,2,0
216_19,2,0,2,1,0,1,2,2,2,0
Evolve tree: [&R] (((((216_19:38,216_20:38)I24:46,(216_21:35,216_22:35)I23:49)I22:49,((216_23:37,216_24:37)I21:43,(216_25:27,216_26:27)I20:53)I19:53)I18:45,((216_29:43,216_30:43)I17:43,(216_27:41,216_28:41)I16:45)I15:92)I14:37,((((216_17:29,216_18:29)I13:52,216_15:81)I12:46,((216_13:8,216_14:8)I11:35,(216_11:7,216_12:7)I10:36)I9:84)I8:49,(((216_1:31,216_2:31)I7:45,(216_3:30,216_4:30)I6:46)I5:43,((216_5:29,216_6:29)I4:41,216_8:70)I3:49)I2:57)I1:39)I0;
