pos_1,pos_2,progenitor,descendants_1,descendants_2
303,253,1,1,
297,228,2,2,
328,237,3,3,
330,213,4,4,
333,176,5,5,
311,171,6,6,
341,143,7,7,
359,158,8,8,
289,242,9,9,
271,235,10,10,
303,217,11,11,
299,202,12,12,
283,172,13,13,
283,156,14,14,
275,147,15,15,
268,140,16,16,
299,180,17,17,
308,159,18,18,
328,153,19,19,
310,142,20,20,
301,151,21,21,
297,135,22,22,
281,113,23,23,24
320,225,24,25,
311,204,25,26,
322,202,26,27,
314,182,27,28,
350,178,28,29,
345,153,29,30,
355,138,30,31,
349,113,31,32,
