Angle,Source
155.55604521958347,Frame Diff = 1
161.13100054493856,Frame Diff = 1
135.78482460299188,Frame Diff = 1
170.53767779197435,Frame Diff = 1
168.6900675259798,Frame Diff = 1
163.49563861824498,Frame Diff = 1
127.87498365109822,Frame Diff = 1
87.27368900609373,Frame Diff = 1
170.53767779197435,Frame Diff = 1
169.69515353123398,Frame Diff = 1
155.9657118405574,Frame Diff = 1
139.31602751986563,Frame Diff = 1
167.0053832080835,Frame Diff = 1
165.96375653207352,Frame Diff = 1
153.434948822922,Frame Diff = 1
143.13010235415598,Frame Diff = 1
153.434948822922,Frame Diff = 1
164.98163936884936,Frame Diff = 1
168.69006752597977,Frame Diff = 1
161.565051177078,Frame Diff = 1
150.2551187030578,Frame Diff = 1
177.27368900609375,Frame Diff = 1
177.27368900609375,Frame Diff = 1
180.0,Frame Diff = 1
150.25511870305778,Frame Diff = 1
77.47119229084849,Frame Diff = 1
137.9737310824801,Frame Diff = 1
166.32869286780416,Frame Diff = 1
141.34019174590992,Frame Diff = 1
174.59620863975027,Frame Diff = 1
115.3461759419467,Frame Diff = 1
116.565051177078,Frame Diff = 1
151.6992442339936,Frame Diff = 1
90.0,Frame Diff = 1
165.3432488842396,Frame Diff = 1
158.19859051364818,Frame Diff = 1
137.12109639666144,Frame Diff = 1
15.255118703057777,Frame Diff = 1
178.09084756700364,Frame Diff = 1
177.35745470593528,Frame Diff = 1
133.21008939175394,Frame Diff = 1
138.17983011986425,Frame Diff = 1
139.63546342690265,Frame Diff = 1
150.25511870305778,Frame Diff = 1
161.565051177078,Frame Diff = 1
36.86989764584402,Frame Diff = 1
150.25511870305778,Frame Diff = 1
139.63546342690262,Frame Diff = 1
14.036243467926484,Frame Diff = 1
157.16634582208246,Frame Diff = 1
175.36453657309733,Frame Diff = 1
113.19859051364818,Frame Diff = 1
103.86102756302115,Frame Diff = 1
152.31893843151474,Frame Diff = 1
146.3099324740202,Frame Diff = 1
116.565051177078,Frame Diff = 1
156.5014343240479,Frame Diff = 1
155.22485943116808,Frame Diff = 1
165.96375653207352,Frame Diff = 1
165.96375653207352,Frame Diff = 1
165.96375653207352,Frame Diff = 1
167.90524292298792,Frame Diff = 1
159.22774531795417,Frame Diff = 1
142.1250163489018,Frame Diff = 1
150.36161631184868,Frame Diff = 1
180.0,Frame Diff = 1
170.53767779197435,Frame Diff = 1
170.7273982227997,Frame Diff = 1
150.25511870305778,Frame Diff = 1
156.03751102542182,Frame Diff = 1
176.63353933657018,Frame Diff = 1
165.5297058999341,Frame Diff = 1
162.89727103094762,Frame Diff = 1
172.18470645323313,Frame Diff = 1
156.5014343240479,Frame Diff = 1
127.18470645323312,Frame Diff = 1
178.1523897340054,Frame Diff = 1
138.81407483429035,Frame Diff = 1
172.87498365109818,Frame Diff = 1
167.47119229084848,Frame Diff = 1
139.3987053549955,Frame Diff = 1
160.75047412731828,Frame Diff = 1
158.19859051364818,Frame Diff = 1
172.8749836510982,Frame Diff = 1
123.69006752597974,Frame Diff = 1
169.5085229876684,Frame Diff = 1
110.77225468204584,Frame Diff = 1
150.80251395393557,Frame Diff = 1
135.0,Frame Diff = 1
166.75948008481282,Frame Diff = 1
180.0,Frame Diff = 1
170.53767779197435,Frame Diff = 1
163.73979529168804,Frame Diff = 1
170.53767779197435,Frame Diff = 1
128.65980825409008,Frame Diff = 1
152.74467162505695,Frame Diff = 1
178.2100893917539,Frame Diff = 1
152.10272896905238,Frame Diff = 1
176.63353933657018,Frame Diff = 1
75.32360686254998,Frame Diff = 1
111.80140948635182,Frame Diff = 1
158.4985656759521,Frame Diff = 1
156.03751102542182,Frame Diff = 1
129.0938588862295,Frame Diff = 1
176.58341180822865,Frame Diff = 1
164.74488129694222,Frame Diff = 1
168.69006752597977,Frame Diff = 1
114.8803668591817,Frame Diff = 1
148.2405199151872,Frame Diff = 1
167.47119229084848,Frame Diff = 1
105.0684881594922,Frame Diff = 1
153.434948822922,Frame Diff = 1
52.12501634890174,Frame Diff = 1
140.78239232236405,Frame Diff = 1
129.28940686250036,Frame Diff = 1
171.86989764584402,Frame Diff = 1
176.82016988013575,Frame Diff = 1
150.6158428740487,Frame Diff = 1
166.69476349390894,Frame Diff = 1
116.565051177078,Frame Diff = 1
169.99202019855866,Frame Diff = 1
158.3440109615775,Frame Diff = 1
159.6235647861636,Frame Diff = 1
170.39479584498707,Frame Diff = 1
126.02737338510362,Frame Diff = 1
180.0,Frame Diff = 1
149.03624346792648,Frame Diff = 1
168.69006752597977,Frame Diff = 1
174.8055710922652,Frame Diff = 1
166.13897243697886,Frame Diff = 1
180.0,Frame Diff = 1
150.25511870305778,Frame Diff = 1
178.6196459265555,Frame Diff = 1
117.59729586864374,Frame Diff = 1
157.7144123531672,Frame Diff = 1
144.46232220802565,Frame Diff = 1
141.97276928602648,Frame Diff = 1
171.86989764584402,Frame Diff = 1
169.5085229876684,Frame Diff = 1
158.86017519134234,Frame Diff = 1
94.39870535499551,Frame Diff = 1
180.0,Frame Diff = 1
170.75388725443676,Frame Diff = 1
165.52970589993413,Frame Diff = 1
172.8749836510982,Frame Diff = 1
135.0,Frame Diff = 1
98.130102354156,Frame Diff = 1
172.99873244250466,Frame Diff = 1
145.10929849249518,Frame Diff = 1
156.6559890384225,Frame Diff = 1
162.81041544384635,Frame Diff = 1
165.96375653207352,Frame Diff = 1
145.30484646876604,Frame Diff = 1
135.0,Frame Diff = 1
154.6538240580533,Frame Diff = 1
178.78112476486868,Frame Diff = 1
153.434948822922,Frame Diff = 1
165.96375653207352,Frame Diff = 1
168.69006752597977,Frame Diff = 1
141.58194465517798,Frame Diff = 1
45.00000000000001,Frame Diff = 1
174.0938588862295,Frame Diff = 1
138.94518622903755,Frame Diff = 1
169.69515353123398,Frame Diff = 1
139.9697407281103,Frame Diff = 1
160.5599651718238,Frame Diff = 1
150.25511870305778,Frame Diff = 1
154.2306723756613,Frame Diff = 1
159.14554196042164,Frame Diff = 1
142.81529354676687,Frame Diff = 1
164.05460409907712,Frame Diff = 1
159.62356478616363,Frame Diff = 1
147.3390872783262,Frame Diff = 1
153.434948822922,Frame Diff = 1
152.969139740157,Frame Diff = 1
121.6754687381092,Frame Diff = 1
117.97947438848014,Frame Diff = 1
161.565051177078,Frame Diff = 1
131.63353933657018,Frame Diff = 1
152.98733465206146,Frame Diff = 1
94.08561677997488,Frame Diff = 1
174.0938588862295,Frame Diff = 1
158.96248897457818,Frame Diff = 1
167.6609127216738,Frame Diff = 1
140.5993393365206,Frame Diff = 1
158.4985656759521,Frame Diff = 1
168.69006752597977,Frame Diff = 1
130.2363583092738,Frame Diff = 1
119.74488129694222,Frame Diff = 1
127.0565281894096,Frame Diff = 1
163.68614757373945,Frame Diff = 1
180.0,Frame Diff = 1
131.18592516570965,Frame Diff = 1
166.32869286780416,Frame Diff = 1
175.2363583092738,Frame Diff = 1
156.5953104489677,Frame Diff = 1
135.0,Frame Diff = 1
171.86989764584402,Frame Diff = 1
158.19859051364818,Frame Diff = 1
165.96375653207352,Frame Diff = 1
123.6900675259798,Frame Diff = 1
176.63353933657018,Frame Diff = 1
168.05582281155367,Frame Diff = 1
150.25511870305778,Frame Diff = 1
168.69006752597977,Frame Diff = 1
180.0,Frame Diff = 1
173.6598082540901,Frame Diff = 1
156.1612598168283,Frame Diff = 1
165.5297058999341,Frame Diff = 1
171.95710576649466,Frame Diff = 1
170.39479584498707,Frame Diff = 1
120.96375653207352,Frame Diff = 1
174.75286109838356,Frame Diff = 1
174.80557109226518,Frame Diff = 1
150.25511870305778,Frame Diff = 1
146.88865803962798,Frame Diff = 1
155.3441012559184,Frame Diff = 1
153.10376303450664,Frame Diff = 1
168.69006752597977,Frame Diff = 1
165.37912601136836,Frame Diff = 1
167.6609127216738,Frame Diff = 1
123.6900675259798,Frame Diff = 1
143.13010235415598,Frame Diff = 1
156.1612598168283,Frame Diff = 1
166.32869286780416,Frame Diff = 1
169.69515353123398,Frame Diff = 1
155.55604521958347,Frame Diff = 1
176.26860300083953,Frame Diff = 1
146.30993247402023,Frame Diff = 1
180.0,Frame Diff = 1
154.72227776444706,Frame Diff = 1
145.66978280449666,Frame Diff = 1
171.8019311539837,Frame Diff = 1
161.565051177078,Frame Diff = 1
161.20011484134733,Frame Diff = 1
148.73626830562256,Frame Diff = 1
167.47119229084848,Frame Diff = 1
156.16125981682828,Frame Diff = 1
157.61986494804043,Frame Diff = 1
156.92958775017536,Frame Diff = 1
144.86580694308438,Frame Diff = 1
127.87498365109818,Frame Diff = 1
174.5596679689945,Frame Diff = 1
119.7448812969422,Frame Diff = 1
175.6012946450045,Frame Diff = 1
163.393019421383,Frame Diff = 1
176.82016988013575,Frame Diff = 1
153.434948822922,Frame Diff = 1
168.11134196037204,Frame Diff = 1
159.14554196042164,Frame Diff = 1
142.1250163489018,Frame Diff = 1
157.16634582208246,Frame Diff = 1
155.55604521958347,Frame Diff = 1
157.186677893448,Frame Diff = 1
133.15238973400542,Frame Diff = 1
157.16634582208246,Frame Diff = 1
162.27676338311366,Frame Diff = 1
180.0,Frame Diff = 1
153.434948822922,Frame Diff = 1
173.8844964337146,Frame Diff = 1
140.42522636842034,Frame Diff = 1
160.9533757023642,Frame Diff = 1
177.51044707800085,Frame Diff = 1
173.60560223477242,Frame Diff = 1
116.565051177078,Frame Diff = 1
165.52970589993413,Frame Diff = 1
170.40686573726967,Frame Diff = 1
161.07535558394875,Frame Diff = 1
150.80251395393557,Frame Diff = 1
167.9052429229879,Frame Diff = 1
172.87498365109818,Frame Diff = 1
164.9315118405078,Frame Diff = 1
136.31188778250407,Frame Diff = 1
147.09475707701208,Frame Diff = 1
159.77514056883192,Frame Diff = 1
175.2363583092738,Frame Diff = 1
180.0,Frame Diff = 1
152.6222972286683,Frame Diff = 1
150.25511870305778,Frame Diff = 1
127.87498365109822,Frame Diff = 1
137.72631099390625,Frame Diff = 1
175.6012946450045,Frame Diff = 1
149.03624346792648,Frame Diff = 1
144.46232220802565,Frame Diff = 1
120.37912601136834,Frame Diff = 1
177.3974377975002,Frame Diff = 1
144.1623470457217,Frame Diff = 1
140.9061411137705,Frame Diff = 1
156.61477894278624,Frame Diff = 1
109.65382405805327,Frame Diff = 1
156.1398248086577,Frame Diff = 1
18.43494882292202,Frame Diff = 1
136.8476102659946,Frame Diff = 1
96.3401917459099,Frame Diff = 1
26.565051177077997,Frame Diff = 1
126.86989764584402,Frame Diff = 1
140.9061411137705,Frame Diff = 1
117.89727103094764,Frame Diff = 1
110.37643521383634,Frame Diff = 1
176.6335393365702,Frame Diff = 1
158.19859051364818,Frame Diff = 1
15.255118703057772,Frame Diff = 1
180.0,Frame Diff = 1
164.05460409907715,Frame Diff = 1
73.73979529168805,Frame Diff = 1
123.6900675259798,Frame Diff = 1
173.65980825409008,Frame Diff = 1
126.86989764584402,Frame Diff = 1
157.45693899994214,Frame Diff = 1
139.7636416907262,Frame Diff = 1
108.43494882292202,Frame Diff = 1
147.52880770915152,Frame Diff = 1
178.49256424122504,Frame Diff = 1
157.16634582208246,Frame Diff = 1
132.27368900609375,Frame Diff = 1
151.8583987677383,Frame Diff = 1
151.26020470831196,Frame Diff = 1
138.69138598645128,Frame Diff = 1
63.43494882292201,Frame Diff = 1
160.76932762433873,Frame Diff = 1
178.21008939175394,Frame Diff = 1
133.3153156821037,Frame Diff = 1
80.53767779197439,Frame Diff = 1
163.65182845264874,Frame Diff = 1
168.69006752597977,Frame Diff = 1
166.26373169437744,Frame Diff = 1
130.0302592718897,Frame Diff = 1
163.12373538328882,Frame Diff = 1
169.26110289909457,Frame Diff = 1
5.194428907734808,Frame Diff = 1
123.6900675259798,Frame Diff = 1
180.0,Frame Diff = 1
180.0,Frame Diff = 1
166.6754687381092,Frame Diff = 1
141.34019174590992,Frame Diff = 1
161.565051177078,Frame Diff = 1
173.50065372034544,Frame Diff = 1
161.565051177078,Frame Diff = 1
164.29136217098426,Frame Diff = 1
129.80557109226518,Frame Diff = 1
161.565051177078,Frame Diff = 1
161.07535558394875,Frame Diff = 1
81.86989764584402,Frame Diff = 1
140.9061411137705,Frame Diff = 1
163.58921540312227,Frame Diff = 1
112.47943439710312,Frame Diff = 1
161.565051177078,Frame Diff = 1
177.51044707800082,Frame Diff = 1
159.07549825507886,Frame Diff = 1
164.1676133795778,Frame Diff = 1
165.78414652632645,Frame Diff = 1
165.96375653207352,Frame Diff = 1
174.80557109226518,Frame Diff = 1
170.53767779197435,Frame Diff = 1
139.96974072811028,Frame Diff = 1
141.34019174590992,Frame Diff = 1
170.53767779197435,Frame Diff = 1
157.38013505195957,Frame Diff = 1
146.30993247402023,Frame Diff = 1
155.22485943116808,Frame Diff = 1
117.89727103094762,Frame Diff = 1
178.1523897340054,Frame Diff = 1
179.23610153907,Frame Diff = 1
142.9434718105904,Frame Diff = 1
180.0,Frame Diff = 1
143.13010235415598,Frame Diff = 1
175.0302592718897,Frame Diff = 1
147.52880770915152,Frame Diff = 1
171.86989764584402,Frame Diff = 1
156.8936731417284,Frame Diff = 1
131.8778695378843,Frame Diff = 1
176.18592516570965,Frame Diff = 1
129.5596679689945,Frame Diff = 1
180.0,Frame Diff = 1
45.0,Frame Diff = 1
176.82016988013578,Frame Diff = 1
174.28940686250036,Frame Diff = 1
175.81508387488157,Frame Diff = 1
130.36453657309735,Frame Diff = 1
166.20051460398062,Frame Diff = 1
169.38034472384487,Frame Diff = 1
120.96375653207352,Frame Diff = 1
152.10272896905238,Frame Diff = 1
94.2678933002908,Frame Diff = 1
98.13010235415597,Frame Diff = 1
167.47119229084848,Frame Diff = 1
145.61965527615513,Frame Diff = 1
179.67629847507976,Frame Diff = 1
129.28940686250036,Frame Diff = 1
169.79602627826833,Frame Diff = 1
158.19859051364818,Frame Diff = 1
171.98290692634467,Frame Diff = 1
151.55707137563664,Frame Diff = 1
163.4842974110469,Frame Diff = 1
84.0938588862295,Frame Diff = 1
145.30484646876602,Frame Diff = 1
94.76364169072616,Frame Diff = 1
168.69006752597977,Frame Diff = 1
130.36453657309735,Frame Diff = 1
